기준일자,KOSPI지수(종가)-REGIME0,KOSPI지수(종가)-REGIME1,KOSPI지수(종가)-REGIME2,A000270(기아-종가)-REGIME0,A000270(기아-종가)-REGIME1,A000270(기아-종가)-REGIME2,A000660(SK하이닉스-종가)-REGIME0,A000660(SK하이닉스-종가)-REGIME1,A000660(SK하이닉스-종가)-REGIME2,A005380(현대차-종가)-REGIME0,A005380(현대차-종가)-REGIME1,A005380(현대차-종가)-REGIME2,A005490(POSCO홀딩스-종가)-REGIME0,A005490(POSCO홀딩스-종가)-REGIME1,A005490(POSCO홀딩스-종가)-REGIME2,A005930(삼성전자-종가)-REGIME0,A005930(삼성전자-종가)-REGIME1,A005930(삼성전자-종가)-REGIME2,A005935(삼성전자우-종가)-REGIME0,A005935(삼성전자우-종가)-REGIME1,A005935(삼성전자우-종가)-REGIME2,A006400(삼성SDI-종가)-REGIME0,A006400(삼성SDI-종가)-REGIME1,A006400(삼성SDI-종가)-REGIME2,A035420(NAVER-종가)-REGIME0,A035420(NAVER-종가)-REGIME1,A035420(NAVER-종가)-REGIME2,A035720(카카오-종가)-REGIME0,A035720(카카오-종가)-REGIME1,A035720(카카오-종가)-REGIME2,A051910(LG화학-종가)-REGIME0,A051910(LG화학-종가)-REGIME1,A051910(LG화학-종가)-REGIME2
20010102,3.066636249476987e-08,0.01865329078216063,0.981346678551471,9.547869568947428e-09,0.42387449599861854,0.5761254944538624,8.891120355742523e-08,0.0014278470472638347,0.9985720640415297,6.298824844995084e-11,0.41907696241711445,0.5809230375200294,3.531043009527303e-10,0.039764273803457595,0.9602357258434483,2.7541065735503866e-20,1.0000000000000053,1.2060883521710933e-16,7.556310944495842e-31,0.9975952808666103,0.002404719133409121,0.005972602433112953,0.9933864622374979,0.0006409353293887685,1.1462673478221763e-05,0.01833434091820923,0.9816541964083167,1.4113314099433474e-28,0.9996634921777733,0.000336507822238748,4.571216581746153e-09,0.9792144573103725,0.02078553811839333
20010103,8.068200988009289e-11,0.01673883126064321,0.9832611686586691,2.8086659031406904e-11,0.42362724194483636,0.5763727580274276,1.0517901088042515e-09,0.000992174587686501,0.9990078243605205,2.436772569867933e-13,0.4188202689279872,0.5811797310719015,1.8074647721577422e-12,0.03828474742849072,0.961715252569712,1.5534027836493985e-23,1.0000000000000053,1.2054793181497186e-16,6.869107307748507e-41,0.9977712715769275,0.002228728423092005,0.005041356458008596,0.9945186077813957,0.00044003576059543605,3.1715983060386283e-06,0.017267760758895967,0.9827290676428023,6.858219092328673e-29,0.9998363119882248,0.00016368801178717467,2.052653180820812e-11,0.9792076693614308,0.020792330618025188
20010104,1.0494748386998589e-10,0.015078933923736729,0.9849210659713095,3.40291351465722e-11,0.4236326422660986,0.5763673577002227,4.280825714960193e-12,0.0005983755591797894,0.9994016244365366,3.1895834565545915e-13,0.4188305146333926,0.5811694853664207,4.038909765591626e-12,0.036887418612269296,0.963112581383702,6.156221115026185e-23,1.0000000000000053,1.204854356107896e-16,2.524933801704107e-50,0.9979372192740958,0.0020627807259236863,0.004275134960430011,0.9954292682945675,0.0002955967450021964,8.876331760648819e-07,0.016259026745491772,0.9837400856213364,1.0873348230083908e-28,0.9999220776694491,7.79223305628583e-05,2.0753508682029704e-11,0.9792015849674525,0.020798415011776736
20010105,1.30676813796308e-10,0.013608148907247465,0.9863918509620694,3.403020839112455e-11,0.42363400398610984,0.5763659959802103,1.2946075409254316e-14,0.0003189993652733463,0.9996810006347108,4.23340478291247e-13,0.4188552950980985,0.5811447049016103,5.798356888569179e-12,0.035558840439312914,0.9644411595548992,9.186922577893341e-23,1.0000000000000053,1.2042198767491472e-16,1.9285245752911432e-50,0.9980924226238426,0.0019075773761768817,0.0036398945776584426,0.9961648707763283,0.0001952346460127359,2.5787177233270754e-07,0.015308841275862694,0.9846909008523691,1.8424697353793257e-28,0.9999635256415537,3.6474358458336056e-05,2.101484438992224e-11,0.9791961349182065,0.020803865060761283
20010108,1.2796901176352245e-10,0.012287579371184345,0.9877124205008407,4.204295340130996e-11,0.42365510710847315,0.5763448928498341,3.649822551867455e-15,0.00017981003268901813,0.9998201899673045,4.949667977068437e-13,0.4188688931888676,0.5811311068107694,5.374722317551262e-12,0.03429162538251652,0.965708374612119,8.625142291182788e-23,1.0000000000000053,1.2035778140098904e-16,2.1326345390731368e-50,0.9982369684405533,0.0017630315594660702,0.003108605064554598,0.9967632044545228,0.0001281904809217468,8.367081176747511e-08,0.014414857413932,0.9855850589152603,2.800007080799683e-28,0.9999829862358796,1.7013764132428968e-05,2.130661521891134e-11,0.9791912531428718,0.020808746835804023
20010109,1.2090640063784405e-10,0.011097941635978858,0.9889020582431082,5.754435926116735e-11,0.42368450188480555,0.5763154980580002,1.723006004637632e-14,0.00011460326287968991,0.9998853967371004,4.300194694331924e-13,0.4188556791699286,0.5811443208297733,7.78253690954203e-12,0.03308344301567698,0.9669165569765508,7.580486381806204e-23,1.0000000000000053,1.2029277829004003e-16,1.880462063245784e-50,0.99837115200194,0.0016288479980793129,0.0026643338366415443,0.9972522699226495,8.339624070817052e-05,3.496234402881521e-08,0.013574039960273863,0.9864259250773862,5.318112751858864e-28,0.9999919246273903,8.075372621799083e-06,2.16323582893538e-11,0.9791868804597929,0.020813119518557528
20010110,7.281622186754258e-11,0.010024254773129904,0.9899757451540472,5.051298717673842e-11,0.4236713853546932,0.5763286145951438,5.133971075332109e-12,8.045614455526349e-05,0.9999195438503081,2.596146720996894e-13,0.4188129978769708,0.5811870021229014,1.2095419804399392e-11,0.03192775110758631,0.9680722488803285,4.9425429139398664e-23,1.0000000000000053,1.202269087772041e-16,1.4671078017559402e-50,0.998496091523679,0.0015039084763403693,0.002290697680362141,0.9976550657947789,5.423652485812629e-05,2.0854256614449017e-08,0.012783306584161672,0.9872166725615859,2.5731907347535775e-28,0.9999958720092175,4.127990794554538e-06,2.199602257740169e-11,0.9791829638590271,0.020817036118959627
20010111,6.694186620911772e-11,0.009071343697884907,0.9909286562351668,2.8752049400010574e-11,0.42362090416605525,0.5763790958055425,1.0850860896631372e-12,5.427655660268538e-05,0.9999457234423094,2.596099416491734e-13,0.4188121422221466,0.5811878577777254,1.0812713775476504e-11,0.03081791611803883,0.9691820838711587,3.931260519432997e-23,1.0000000000000053,1.2015994062841732e-16,1.5977242283605532e-50,0.9986131767196881,0.001386823280331296,0.0019831495051588614,0.9979834753682718,3.337512656874271e-05,1.6315372211926912e-08,0.012039695881871334,0.9879602878027608,4.866728052729143e-28,0.9999977308259551,2.2691740567982914e-06,2.2402016777301746e-11,0.9791794558597089,0.020820544117871747
20010112,8.750726855409874e-11,0.008225140414703236,0.9917748594977838,4.793645200250628e-11,0.42366442329005005,0.5763355766623633,7.666541575590898e-13,3.600136041106747e-05,0.9999639986388197,3.5616831977758624e-13,0.41883849123440925,0.5811615087653661,2.1160020589492713e-11,0.02975283511833913,0.9702471648605111,7.672796445701028e-23,1.0000000000000053,1.2009172565957536e-16,1.948827075545885e-50,0.9987226051235102,0.0012773948765090702,0.0017251393573988502,0.998255203261348,1.9657381252572723e-05,1.445049794522732e-08,0.011340405672695213,0.988659579876811,9.747366922108734e-28,0.9999985971187629,1.402881248866521e-06,2.2855262747902367e-11,0.9791763139344392,0.02082368604268832
20010115,9.258353188391335e-11,0.007462307440072344,0.9925376924673381,3.717226778513667e-11,0.4236430201314658,0.5763569798317116,6.986726772400929e-15,2.345105875765951e-05,0.9999765489412329,3.5618029028245814e-13,0.41884058088368314,0.5811594191160923,1.80319866321969e-11,0.028724602064389957,0.9712753979175882,1.002536428346759e-22,1.0000000000000053,1.2002259570873216e-16,2.2827665983039476e-50,0.9988242814667325,0.0011757185332869251,0.0015042315054083293,0.998484358405733,1.1410088858011309e-05,1.3358612214419531e-08,0.010682796038635948,0.989317190602756,2.0715215103476448e-27,0.9999990018479118,9.981521001826088e-07,2.336125518023784e-11,0.9791734999937259,0.020826499982895524
