Code,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,Rank,Date
055490,테이팩스,KOSPI,,52400.0,2,-200.0,-0.38,52200.0,53500.0,51400.0,11426.0,597832100.0,247204860000.0,4717650,STK,704,2022-12-29
003200,일신방직,KOSPI,,103000.0,1,1500.0,1.48,101500.0,105000.0,100500.0,19302.0,1996448000.0,247200000000.0,2400000,STK,705,2022-12-29
025000,KPX케미칼,KOSPI,,51000.0,3,0.0,0.0,51000.0,51000.0,49800.0,1603.0,81003100.0,246840000000.0,4840000,STK,706,2022-12-29
002620,제일파마홀딩스,KOSPI,,15400.0,1,1850.0,13.65,13700.0,17600.0,13500.0,3045840.0,48652264550.0,245989667000.0,15973355,STK,708,2022-12-29
139990,아주스틸,KOSPI,,9290.0,2,-340.0,-3.53,9550.0,9580.0,9210.0,21292.0,198648680.0,245740835810.0,26452189,STK,710,2022-12-29
001470,삼부토건,KOSPI,,1240.0,2,-60.0,-4.62,1295.0,1295.0,1225.0,1470293.0,1839226070.0,245114985000.0,197673375,STK,712,2022-12-29
011785,금호석유우,KOSPI,,81000.0,2,-2700.0,-3.23,83700.0,83700.0,81000.0,19681.0,1603634300.0,244902366000.0,3023486,STK,714,2022-12-29
068290,삼성출판사,KOSPI,,24200.0,1,50.0,0.21,24200.0,24900.0,24050.0,36096.0,880185600.0,242000000000.0,10000000,STK,722,2022-12-29
214390,경보제약,KOSPI,,10000.0,1,70.0,0.7,9990.0,10000.0,9780.0,467123.0,4630687800.0,239068600000.0,23906860,STK,726,2022-12-29
001520,동양,KOSPI,,1000.0,2,-25.0,-2.44,1030.0,1030.0,991.0,402207.0,404451133.0,238684063000.0,238684063,STK,728,2022-12-29
002710,TCC스틸,KOSPI,,9350.0,2,-70.0,-0.74,9480.0,9480.0,9150.0,207710.0,1922749540.0,237359277650.0,25386019,STK,732,2022-12-29
035510,신세계 I&C,KOSPI,,13750.0,2,-350.0,-2.48,14200.0,14300.0,13600.0,128941.0,1798110900.0,236500000000.0,17200000,STK,734,2022-12-29
081000,일진다이아,KOSPI,,16600.0,2,-400.0,-2.35,16750.0,17150.0,16600.0,13560.0,226948900.0,235769385000.0,14202975,STK,736,2022-12-29
102260,동성케미컬,KOSPI,,4730.0,2,-10.0,-0.21,4740.0,4760.0,4645.0,37388.0,175567285.0,235032413440.0,49689728,STK,740,2022-12-29
004980,성신양회,KOSPI,,9540.0,2,-30.0,-0.31,9500.0,9740.0,9410.0,95052.0,908645720.0,233883336420.0,24516073,STK,744,2022-12-29
317400,자이에스앤디,KOSPI,,6030.0,2,-140.0,-2.27,6150.0,6170.0,5990.0,67851.0,409830020.0,233858595600.0,38782520,STK,745,2022-12-29
012320,경동인베스트,KOSPI,,98500.0,2,-4500.0,-4.37,102500.0,103500.0,95500.0,60256.0,6006430600.0,232954765500.0,2365023,STK,749,2022-12-29
001780,알루코,KOSPI,,2585.0,2,-65.0,-2.45,2645.0,2695.0,2560.0,759634.0,1982441080.0,232570981720.0,89969432,STK,750,2022-12-29
000230,일동홀딩스,KOSPI,,20150.0,2,-850.0,-4.05,21600.0,21650.0,20000.0,587225.0,12107062650.0,232539060000.0,11540400,STK,751,2022-12-29
003580,HLB글로벌,KOSPI,,5470.0,2,-140.0,-2.5,5570.0,5620.0,5340.0,242008.0,1319945060.0,231747719740.0,42367042,STK,753,2022-12-29
015230,대창단조,KOSPI,,8090.0,2,-380.0,-4.49,8430.0,8500.0,7960.0,477362.0,3866107610.0,231149340700.0,28572230,STK,755,2022-12-29
029460,케이씨,KOSPI,,17050.0,2,-200.0,-1.16,17100.0,17100.0,16700.0,21473.0,363036000.0,231096450200.0,13554044,STK,756,2022-12-29
002390,한독,KOSPI,,16750.0,2,-300.0,-1.76,17100.0,17100.0,16300.0,23658.0,390641900.0,230539177750.0,13763533,STK,759,2022-12-29
002810,삼영무역,KOSPI,,12450.0,2,-200.0,-1.58,12650.0,12650.0,12450.0,10426.0,130489000.0,229913502600.0,18466948,STK,762,2022-12-29
339770,교촌에프앤비,KOSPI,,9200.0,2,-290.0,-3.06,9470.0,9550.0,8810.0,43531.0,401914230.0,229839368000.0,24982540,STK,764,2022-12-29
083420,그린케미칼,KOSPI,,9570.0,2,-330.0,-3.33,9800.0,9890.0,9470.0,220568.0,2121346810.0,229680000000.0,24000000,STK,765,2022-12-29
001460,BYC,KOSPI,,366000.0,2,-4500.0,-1.21,369000.0,370000.0,365000.0,1977.0,730078500.0,228609090000.0,624615,STK,769,2022-12-29
001790,대한제당,KOSPI,,2545.0,2,-125.0,-4.68,2670.0,2700.0,2520.0,293443.0,754537685.0,228277796100.0,89696580,STK,770,2022-12-29
092230,KPX홀딩스,KOSPI,,54000.0,2,-500.0,-0.92,54300.0,55500.0,54000.0,2958.0,161160400.0,228130884000.0,4224646,STK,771,2022-12-29
006840,AK홀딩스,KOSPI,,17200.0,2,-150.0,-0.86,17250.0,17250.0,16600.0,11782.0,198942500.0,227858049200.0,13247561,STK,772,2022-12-29
001200,유진투자증권,KOSPI,,2340.0,2,-55.0,-2.3,2380.0,2380.0,2315.0,96380.0,225283340.0,226667418120.0,96866418,STK,776,2022-12-29
077500,유니퀘스트,KOSPI,,8250.0,2,-200.0,-2.37,8430.0,8540.0,8150.0,72916.0,602323180.0,225686793750.0,27355975,STK,779,2022-12-29
000140,하이트진로홀딩스,KOSPI,,9720.0,2,-430.0,-4.24,10050.0,10050.0,9720.0,42618.0,418502980.0,225569755800.0,23206765,STK,780,2022-12-29
007160,사조산업,KOSPI,,45000.0,2,-350.0,-0.77,45150.0,45700.0,44300.0,5731.0,257544650.0,225000000000.0,5000000,STK,782,2022-12-29
003120,일성신약,KOSPI,,84400.0,2,-1900.0,-2.2,85400.0,87200.0,83200.0,3965.0,335450500.0,224504000000.0,2660000,STK,783,2022-12-29
001130,대한제분,KOSPI,,132500.0,2,-4000.0,-2.93,135000.0,136000.0,131500.0,4927.0,654666500.0,223925000000.0,1690000,STK,785,2022-12-29
097955,CJ제일제당 우,KOSPI,,168500.0,3,0.0,0.0,171000.0,171000.0,167000.0,1582.0,266102000.0,223672460500.0,1327433,STK,786,2022-12-29
229640,LS전선아시아,KOSPI,,7290.0,2,-260.0,-3.44,7490.0,7510.0,7250.0,98919.0,725409110.0,223255367910.0,30624879,STK,789,2022-12-29
019680,대교,KOSPI,,2615.0,1,50.0,1.95,2580.0,2615.0,2530.0,12438.0,31756765.0,221497952750.0,84702850,STK,793,2022-12-29
136490,선진,KOSPI,,9300.0,2,-120.0,-1.27,9330.0,9440.0,9160.0,41378.0,383574780.0,221150317200.0,23779604,STK,794,2022-12-29
005720,넥센,KOSPI,,4105.0,2,-30.0,-0.73,4125.0,4185.0,4035.0,13142.0,53645345.0,219798025585.0,53543977,STK,796,2022-12-29
377190,디앤디플랫폼리츠,KOSPI,,3405.0,2,-15.0,-0.44,3455.0,3455.0,3390.0,88508.0,301068965.0,219282000000.0,64400000,STK,798,2022-12-29
010955,S-Oil우,KOSPI,,53900.0,2,-1700.0,-3.06,55800.0,55800.0,53800.0,34498.0,1868202300.0,216781865300.0,4021927,STK,805,2022-12-29
000540,흥국화재,KOSPI,,3370.0,1,75.0,2.28,3295.0,3400.0,3265.0,118286.0,393975725.0,216497713650.0,64242645,STK,806,2022-12-29
026890,스틱인베스트먼트,KOSPI,,5160.0,2,-190.0,-3.55,5300.0,5340.0,5150.0,122548.0,638344310.0,215059383000.0,41678175,STK,807,2022-12-29
011760,현대코퍼레이션,KOSPI,,16200.0,2,-650.0,-3.86,16900.0,16900.0,16100.0,28213.0,461863650.0,214309249200.0,13228966,STK,811,2022-12-29
084680,이월드,KOSPI,,1510.0,2,-40.0,-2.58,1550.0,1560.0,1495.0,105922.0,160043330.0,214127351430.0,141806193,STK,813,2022-12-29
004250,NPC,KOSPI,,5820.0,2,-270.0,-4.43,6000.0,6060.0,5770.0,186584.0,1091744330.0,213710400000.0,36720000,STK,815,2022-12-29
044450,KSS해운,KOSPI,,9250.0,2,-130.0,-1.39,9370.0,9380.0,9070.0,20433.0,187850160.0,213544390000.0,23085880,STK,816,2022-12-29
006060,화승인더,KOSPI,,3850.0,2,-125.0,-3.14,3935.0,3950.0,3815.0,108248.0,418989045.0,212982000000.0,55320000,STK,817,2022-12-29
200880,서연이화,KOSPI,,7860.0,2,-290.0,-3.56,8150.0,8190.0,7860.0,194884.0,1547444350.0,212443514820.0,27028437,STK,819,2022-12-29
008060,대덕,KOSPI,,6210.0,2,-150.0,-2.36,6270.0,6330.0,6150.0,83724.0,521467790.0,210457831500.0,33890150,STK,822,2022-12-29
000430,대원강업,KOSPI,,3390.0,2,-210.0,-5.83,3600.0,3600.0,3250.0,152111.0,523545315.0,210180000000.0,62000000,STK,823,2022-12-29
096760,JW홀딩스,KOSPI,,2980.0,2,-30.0,-1.0,3010.0,3010.0,2930.0,24488.0,72373815.0,209925223880.0,70444706,STK,824,2022-12-29
011700,한신기계,KOSPI,,6400.0,2,-400.0,-5.88,6820.0,6880.0,6390.0,590836.0,3893449200.0,207655366400.0,32446151,STK,827,2022-12-29
404990,신한서부티엔디리츠,KOSPI,,3645.0,2,-105.0,-2.8,3775.0,3775.0,3630.0,25853.0,94452945.0,203959197180.0,55955884,STK,837,2022-12-29
015540,쎌마테라퓨틱스,KOSPI,,6410.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203176385440.0,31696784,STK,840,2022-12-29
011280,태림포장,KOSPI,,2865.0,2,-125.0,-4.18,2990.0,2995.0,2865.0,150319.0,437559180.0,202859018100.0,70805940,STK,843,2022-12-29
003610,방림,KOSPI,,4780.0,2,-290.0,-5.72,5070.0,5080.0,4780.0,375471.0,1846315940.0,202261350200.0,42314090,STK,844,2022-12-29
071970,STX중공업,KOSPI,,7080.0,2,-390.0,-5.22,7350.0,7370.0,7040.0,1169736.0,8378225500.0,200937777360.0,28381042,STK,848,2022-12-29
003060,에이프로젠제약,KOSPI,,503.0,1,9.0,1.82,495.0,511.0,482.0,1758529.0,867932138.0,200483668646.0,398575882,STK,849,2022-12-29
00279K,아모레G3우(전환),KOSPI,,28000.0,2,-500.0,-1.75,28250.0,28700.0,27500.0,737.0,20642100.0,198581600000.0,7092200,STK,856,2022-12-29
039570,HDC랩스,KOSPI,,7600.0,2,-390.0,-4.88,7830.0,7950.0,7580.0,21409.0,164314340.0,197277767600.0,25957601,STK,859,2022-12-29
002100,경농,KOSPI,,10100.0,2,-250.0,-2.42,10250.0,10350.0,10000.0,27707.0,279047450.0,197178007500.0,19522575,STK,860,2022-12-29
103590,일진전기,KOSPI,,5310.0,2,-140.0,-2.57,5440.0,5490.0,5200.0,245857.0,1304768020.0,196896870900.0,37080390,STK,862,2022-12-29
023450,동남합성,KOSPI,,54400.0,2,-200.0,-0.37,54800.0,54800.0,53500.0,315.0,16946700.0,196384000000.0,3610000,STK,864,2022-12-29
010580,에스엠벡셀,KOSPI,,1745.0,1,30.0,1.75,1720.0,1795.0,1660.0,98703.0,168683435.0,194134321200.0,111251760,STK,873,2022-12-29
001340,백광산업,KOSPI,,4310.0,2,-20.0,-0.46,4330.0,4365.0,4265.0,101405.0,435490895.0,193598334170.0,44918407,STK,874,2022-12-29
058430,포스코스틸리온,KOSPI,,32200.0,2,-950.0,-2.87,33000.0,33000.0,31500.0,69438.0,2229519150.0,193200000000.0,6000000,STK,876,2022-12-29
234080,JW생명과학,KOSPI,,12150.0,2,-200.0,-1.62,12250.0,12350.0,12000.0,15835.0,191935350.0,192389831100.0,15834554,STK,879,2022-12-29
101530,해태제과식품,KOSPI,,6590.0,2,-210.0,-3.09,6800.0,6810.0,6560.0,26731.0,177230370.0,191879856980.0,29116822,STK,880,2022-12-29
035150,백산,KOSPI,,8180.0,2,-210.0,-2.5,8370.0,8450.0,8160.0,110759.0,914667980.0,191452900000.0,23405000,STK,883,2022-12-29
000155,두산우,KOSPI,,47550.0,2,-1100.0,-2.26,48800.0,48800.0,47550.0,2792.0,134169750.0,190031768100.0,3996462,STK,887,2022-12-29
015890,태경산업,KOSPI,,6480.0,2,-20.0,-0.31,6470.0,6500.0,6370.0,81989.0,525772410.0,189402300000.0,29228750,STK,888,2022-12-29
000680,LS네트웍스,KOSPI,,2400.0,1,45.0,1.91,2390.0,2400.0,2310.0,17697.0,41519480.0,189127238400.0,78803016,STK,892,2022-12-29
015360,예스코홀딩스,KOSPI,,31500.0,2,-200.0,-0.63,31700.0,31900.0,31100.0,2790.0,87196500.0,189000000000.0,6000000,STK,893,2022-12-29
015860,일진홀딩스,KOSPI,,3820.0,2,-135.0,-3.41,3945.0,3950.0,3805.0,119275.0,460537860.0,188507385060.0,49347483,STK,895,2022-12-29
001270,부국증권,KOSPI,,18150.0,3,0.0,0.0,18150.0,18400.0,17450.0,17235.0,305346950.0,188213430900.0,10369886,STK,897,2022-12-29
031440,신세계푸드,KOSPI,,48050.0,2,-400.0,-0.83,48950.0,48950.0,47650.0,4978.0,239258400.0,186072664000.0,3872480,STK,906,2022-12-29
009155,삼성전기우,KOSPI,,64000.0,2,-400.0,-0.62,64600.0,64600.0,63200.0,3118.0,199143900.0,186046976000.0,2906984,STK,907,2022-12-29
005680,삼영전자,KOSPI,,9300.0,2,-140.0,-1.48,9420.0,9420.0,9180.0,40642.0,376457990.0,186000000000.0,20000000,STK,908,2022-12-29
001250,GS글로벌,KOSPI,,2250.0,2,-100.0,-4.26,2330.0,2340.0,2230.0,481130.0,1087704450.0,185700969000.0,82533764,STK,910,2022-12-29
002780,진흥기업,KOSPI,,1275.0,2,-50.0,-3.77,1315.0,1330.0,1260.0,765381.0,985475165.0,185476474875.0,145471745,STK,911,2022-12-29
016450,한세예스24홀딩스,KOSPI,,4625.0,2,-200.0,-4.15,4825.0,4830.0,4605.0,25318.0,118317795.0,185000000000.0,40000000,STK,915,2022-12-29
014280,금강공업,KOSPI,,6190.0,2,-330.0,-5.06,6440.0,6470.0,6110.0,229309.0,1428546950.0,181548719830.0,29329357,STK,931,2022-12-29
004970,신라교역,KOSPI,,11300.0,2,-400.0,-3.42,11600.0,11600.0,11150.0,10846.0,122677200.0,180800000000.0,16000000,STK,936,2022-12-29
003555,LG우,KOSPI,,59700.0,2,-700.0,-1.16,60300.0,60300.0,59300.0,4884.0,291328300.0,180390714000.0,3021620,STK,938,2022-12-29
001360,삼성제약,KOSPI,,2685.0,2,-40.0,-1.47,2740.0,2740.0,2650.0,195799.0,524650455.0,180330182115.0,67162079,STK,939,2022-12-29
214330,금호에이치티,KOSPI,,892.0,2,-19.0,-2.09,906.0,916.0,891.0,624936.0,560839705.0,179330122296.0,201042738,STK,942,2022-12-29
194370,제이에스코퍼레이션,KOSPI,,13400.0,2,-650.0,-4.63,13850.0,13950.0,13400.0,55482.0,751480250.0,178697053400.0,13335601,STK,946,2022-12-29
334890,이지스밸류리츠,KOSPI,,4840.0,2,-10.0,-0.21,4845.0,4875.0,4765.0,20394.0,98352030.0,177847421400.0,36745335,STK,947,2022-12-29
005389,현대차3우B,KOSPI,,72800.0,2,-2200.0,-2.93,75000.0,75000.0,72600.0,7692.0,565253200.0,176811908000.0,2428735,STK,948,2022-12-29
267850,아시아나IDT,KOSPI,,15900.0,2,-1650.0,-9.4,17100.0,17150.0,15900.0,206897.0,3446132000.0,176490000000.0,11100000,STK,949,2022-12-29
079430,현대리바트,KOSPI,,8590.0,2,-470.0,-5.19,8910.0,9020.0,8530.0,68091.0,592521460.0,176398072380.0,20535282,STK,950,2022-12-29
002210,동성제약,KOSPI,,6680.0,1,20.0,0.3,6580.0,6680.0,6500.0,18173.0,119731920.0,174354479600.0,26100970,STK,960,2022-12-29
128820,대성산업,KOSPI,,3850.0,2,-125.0,-3.14,3915.0,3960.0,3850.0,120895.0,470163960.0,174156590300.0,45235478,STK,962,2022-12-29
016610,DB금융투자,KOSPI,,4100.0,2,-120.0,-2.84,4225.0,4225.0,4090.0,133552.0,549090630.0,174030194900.0,42446389,STK,963,2022-12-29
417310,코람코더원리츠,KOSPI,,4270.0,2,-45.0,-1.04,4320.0,4335.0,4205.0,21572.0,92024460.0,172508000000.0,40400000,STK,965,2022-12-29
028100,동아지질,KOSPI,,12150.0,2,-550.0,-4.33,12750.0,12750.0,12050.0,29214.0,358352500.0,170739648900.0,14052646,STK,971,2022-12-29
105840,우진,KOSPI,,8380.0,2,-120.0,-1.41,8520.0,8670.0,8260.0,188579.0,1589755180.0,170311885320.0,20323614,STK,974,2022-12-29
012610,경인양행,KOSPI,,4090.0,2,-110.0,-2.62,4155.0,4205.0,4060.0,75390.0,309361235.0,170210932850.0,41616365,STK,975,2022-12-29
070960,용평리조트,KOSPI,,3530.0,2,-30.0,-0.84,3560.0,3595.0,3475.0,48163.0,170384110.0,169910665490.0,48133333,STK,977,2022-12-29
100250,진양홀딩스,KOSPI,,3025.0,2,-50.0,-1.63,3075.0,3075.0,3000.0,52950.0,160311095.0,169083258300.0,55895292,STK,978,2022-12-29
030210,다올투자증권,KOSPI,,2800.0,2,-100.0,-3.45,2905.0,2905.0,2795.0,358191.0,1016554180.0,168879457600.0,60314092,STK,979,2022-12-29
079980,휴비스,KOSPI,,4885.0,2,-65.0,-1.31,4950.0,4990.0,4880.0,14712.0,72262450.0,168532500000.0,34500000,STK,981,2022-12-29
000700,유수홀딩스,KOSPI,,6400.0,2,-280.0,-4.19,6680.0,6720.0,6400.0,84136.0,544829410.0,166667596800.0,26041812,STK,987,2022-12-29
005960,동부건설,KOSPI,,7260.0,2,-260.0,-3.46,7520.0,7520.0,7190.0,181466.0,1324162360.0,166071207720.0,22874822,STK,989,2022-12-29
02826K,삼성물산우B,KOSPI,,102000.0,2,-4000.0,-3.77,106000.0,106000.0,102000.0,1670.0,172692000.0,165997350000.0,1627425,STK,990,2022-12-29
014160,대영포장,KOSPI,,1530.0,2,-20.0,-1.29,1555.0,1575.0,1530.0,384926.0,597806570.0,165843659970.0,108394549,STK,993,2022-12-29
005945,NH투자증권우,KOSPI,,8740.0,2,-140.0,-1.58,8850.0,8860.0,8690.0,81486.0,713830660.0,164932260320.0,18870968,STK,997,2022-12-29
168490,한국패러랠,KOSPI,,2055.0,1,10.0,0.49,2080.0,2080.0,2055.0,24295.0,50315655.0,164441100000.0,80020000,STK,998,2022-12-29
004710,한솔테크닉스,KOSPI,,5100.0,2,-200.0,-3.77,5240.0,5270.0,5070.0,56641.0,290875570.0,163760377800.0,32109878,STK,1000,2022-12-29
007860,서연,KOSPI,,6930.0,2,-200.0,-2.81,7080.0,7150.0,6820.0,128582.0,893963660.0,162715318920.0,23479844,STK,1006,2022-12-29
013580,계룡건설,KOSPI,,18200.0,1,150.0,0.83,17950.0,18200.0,17700.0,25410.0,456197800.0,162542507400.0,8930907,STK,1008,2022-12-29
372910,한컴라이프케어,KOSPI,,5850.0,1,80.0,1.39,5800.0,6000.0,5630.0,312186.0,1813984770.0,161895275100.0,27674406,STK,1010,2022-12-29
012030,DB,KOSPI,,803.0,2,-4.0,-0.5,806.0,806.0,784.0,183755.0,145836318.0,161542668199.0,201173933,STK,1014,2022-12-29
000390,삼화페인트,KOSPI,,5880.0,2,-120.0,-2.0,5950.0,6050.0,5800.0,64359.0,381801490.0,159956397720.0,27203469,STK,1019,2022-12-29
248170,샘표식품,KOSPI,,34750.0,2,-750.0,-2.11,35500.0,35500.0,34500.0,9333.0,326721350.0,158747938500.0,4568286,STK,1023,2022-12-29
009270,신원,KOSPI,,1545.0,2,-75.0,-4.63,1605.0,1605.0,1530.0,933833.0,1455068660.0,158495920020.0,102586356,STK,1024,2022-12-29
002170,삼양통상,KOSPI,,52800.0,3,0.0,0.0,52800.0,52800.0,51600.0,606.0,31544000.0,158400000000.0,3000000,STK,1025,2022-12-29
010820,퍼스텍,KOSPI,,3280.0,2,-170.0,-4.93,3400.0,3400.0,3205.0,3884171.0,12743387550.0,157641588800.0,48061460,STK,1028,2022-12-29
011810,STX,KOSPI,,5500.0,2,-660.0,-10.71,5840.0,5910.0,5430.0,2378432.0,13473355530.0,157417997000.0,28621454,STK,1030,2022-12-29
009410,태영건설,KOSPI,,4030.0,2,-75.0,-1.83,4075.0,4105.0,3965.0,143192.0,575406740.0,156763364940.0,38899098,STK,1034,2022-12-29
094280,효성ITX,KOSPI,,13550.0,2,-250.0,-1.81,14000.0,14000.0,13550.0,3711.0,50849450.0,156613610000.0,11558200,STK,1036,2022-12-29
004560,현대비앤지스틸,KOSPI,,10350.0,2,-150.0,-1.43,10500.0,10500.0,10100.0,37641.0,384956800.0,156065693850.0,15078811,STK,1037,2022-12-29
011500,한농화성,KOSPI,,9970.0,2,-230.0,-2.25,10150.0,10300.0,9800.0,115949.0,1158379560.0,155901308740.0,15637042,STK,1039,2022-12-29
282690,동아타이어,KOSPI,,11350.0,2,-100.0,-0.87,11550.0,11550.0,11250.0,32184.0,364999450.0,155869720250.0,13733015,STK,1040,2022-12-29
