YYYYMM,PRICE_FIRST,PRICE_LAST,PROFIT,VARIANCE,Sharp-Ratio,Sharp-Ratio-Sum
200301,1018814670.0,927657492.0,-0.08947375875535832,0.11979189885107129,-0.7469099297490446,-0.7469099297490446
200302,951740276.0,916665740.0,-0.03685305422547863,0.11874889159164566,-0.3103444060110398,-1.0572543357600843
200303,948482684.0,888980246.0,-0.06273434297088337,0.11523638274834355,-0.5443970165905363,-1.6016513523506206
200304,880107788.0,1010549125.0,0.14821063826332145,0.11918802414978648,1.2435027706899608,-0.35814858166065977
200305,1003692200.0,1058636268.0,0.05474194977304795,0.08336911938825393,0.6566214225930839,0.2984728409324241
200306,1065020806.0,1167557377.0,0.0962765895486177,0.08130361806707499,1.1841611952519764,1.4826340361844004
200307,1177756148.0,1277809280.0,0.08495233259440392,0.06713657053304987,1.2653659833962436,2.748000019580644
200308,1310055828.0,1335250349.0,0.01923163918782246,0.06601493714341523,0.29132254032208454,3.0393225599027285
200309,1338063395.0,1243520247.0,-0.07065670307795842,0.09816517848423523,-0.7197735915012419,2.3195489684014867
200310,1268164956.0,1441438760.0,0.13663349013091639,0.09096211894823325,1.5020922083914383,3.821641176792925
200311,1464795163.0,1501444215.0,0.025019916044056463,0.11724191687605684,0.21340418777446682,4.035045364567392
200312,1538329800.0,1487042480.0,-0.033339612871050146,0.0902564086278301,-0.3693877629069549,3.6656576016604365
200401,1516653345.0,1660376463.0,0.09476332773986662,0.07893978917745187,1.200450732479718,4.866108334140154
200402,1650960394.0,1716288840.0,0.03956996560148856,0.07996686930383648,0.494829495589496,5.36093782972965
200403,1738049130.0,1824548224.0,0.04976792226811218,0.08789030169623308,0.5662504429683304,5.927188272697981
200404,1856107730.0,1829103274.0,-0.014548970172113878,0.08223385613623484,-0.17692190121804519,5.750266371479936
200405,1832678787.0,1654586459.0,-0.09717596409326475,0.13250356262406873,-0.7333837835663833,5.016882587913552
200406,1673209978.0,1706103100.0,0.019658693429092138,0.12472416229028319,0.15761736192974757,5.1744999498433
200407,1702496804.0,1615916620.0,-0.0508548290937056,0.053758767609163136,-0.9459820482387219,4.228517901604578
200408,1602484154.0,1803611695.0,0.12550984700719856,0.06028905338746384,2.081801586775226,6.310319488379804
200409,1817859305.0,1842379674.0,0.01348859558743464,0.0759731235161087,0.17754430729144144,6.487863795671245
200410,1879544895.0,1831688915.0,-0.02546147215068252,0.09089731744363402,-0.28011247049695753,6.2077513251742875
200411,1814193260.0,1828159644.0,0.0076983992322846575,0.05867603385287401,0.13120176547017215,6.33895309064446
200412,1817914593.0,1915075345.0,0.05344626880389424,0.058614181839349876,0.9118316954483834,7.250784786092844
200501,1914946149.0,2042538010.0,0.06662947731800682,0.06417696837959858,1.038214783283342,8.288999569376186
200502,2012542006.0,2253141001.0,0.11954980034339716,0.04985709040793618,2.3978495208049164,10.686849090181102
200503,2243531814.0,2091780040.0,-0.06763968001391578,0.07642730976717459,-0.8850197687184185,9.801829321462684
200504,2154682180.0,2037019955.0,-0.054607693929134365,0.07818184556461348,-0.6984702591089867,9.103359062353697
200505,2041295690.0,2195430028.0,0.0755080896682832,0.05685368768298292,1.328112436423078,10.431471498776775
200506,2187639141.0,2243664780.0,0.025610091696562857,0.04679330285047009,0.5473025013515492,10.978774000128324
200507,2255682016.0,2502132430.0,0.10925760468535828,0.040946595164997455,2.6682952329759373,13.647069233104261
200508,2528091642.0,2397201144.0,-0.051774427724641796,0.06366996992416575,-0.8131687165284959,12.833900516575765
200509,2416040697.0,2676693176.0,0.10788414256583195,0.06945665054613293,1.5532586399941009,14.387159156569865
200510,2684782328.0,2466334104.0,-0.08136533890355672,0.07809744781793639,-1.041843762849185,13.34531539372068
200511,2534517345.0,2731228120.0,0.077612716041602,0.058625957617543786,1.3238626573560042,14.669178051076685
200512,2760014718.0,3051046939.0,0.1054458945823636,0.05353267415176441,1.9697483126552937,16.63892636373198
200601,3071814790.0,3023434210.0,-0.01574983627186716,0.08246538565392156,-0.19098723842708656,16.44793912530489
200602,3020422930.0,2940150319.0,-0.026576612898379766,0.06566956967209353,-0.4047021022230571,16.043237023081833
200603,2928937208.0,2909570136.0,-0.006612320655800143,0.05657182786697795,-0.11688363104243764,15.926353392039395
200604,2953389290.0,2965647360.0,0.0041505093966125945,0.06013149005430483,0.06902389069128778,15.995377282730683
200605,2938433132.0,2814654048.0,-0.04212417926139828,0.06343988336768822,-0.6640015243605154,15.331375758370168
200606,2754193073.0,2697927953.0,-0.020428894601319043,0.08946975735904504,-0.22833296081643795,15.10304279755373
200607,2743852990.0,2666602608.0,-0.02815397992587059,0.07151881602132612,-0.39365836142303284,14.709384436130698
200608,2708278580.0,2927080965.0,0.08079020622760306,0.050770493934614,1.5912826519208318,16.30066708805153
200609,2959186990.0,2984088268.0,0.00841490520340521,0.049465903836744964,0.17011526224563456,16.470782350297164
200610,2995673337.0,2872510370.0,-0.04111361725552522,0.047436591565622674,-0.8667068163750677,15.604075533922096
200611,2862021450.0,2921695882.0,0.02085044890212126,0.03160564824623502,0.6597064151217036,16.2637819490438
200612,2949860970.0,2892109770.0,-0.01957760063519197,0.04833536324444984,-0.40503679544479243,15.858745153599008
200701,2953379385.0,2764771235.0,-0.06386180893586754,0.05193701366255134,-1.2296010962585333,14.629144057340476
200702,2801819235.0,2853934326.0,0.01860044729116866,0.056853734573829966,0.32716315701326915,14.956307214353744
200703,2851012510.0,2899538628.0,0.017020661196607657,0.04627085309965196,0.3678484414357098,15.324155655789454
