기준일자,A005930-삼성전자-종가,A000660-SK하이닉스-종가,A006400-삼성SDI-종가,A005380-현대차-종가,A000270-기아-종가,A005490-POSCO홀딩스-종가,A012330-현대모비스-종가,A015760-한국전력-종가,A033780-KT&G-종가,A003550-LG-종가
20030102,0.07527641022245543,0.06314239915439251,0.12350945126928299,0.06246482506058637,0.06317843590327324,0.08711166127392803,0.15900720588372994,0.13289482671311517,0.035459715526369645,0.19795506899286672
20030103,0.08848726393138914,0.11680692463290802,0.14302597205039463,0.13501561949733004,0.05144945105270602,0.12879476027103157,0.0995304889721069,0.04497779300635789,0.058908271449076934,0.13300345513669887
20030106,0.0822256617872835,0.11714014124817491,0.09882631444530496,0.0964271263020898,0.1116812601571274,0.09232325615831374,0.0725485057569473,0.09616855631963825,0.09447810567033832,0.13818107215478187
20030107,0.13699451725087242,0.06854514558137383,0.14797898894642916,0.09429171085716774,0.11852367895373886,0.030438149222786575,0.11324650182039682,0.06849834898867299,0.06231276992099882,0.15917018845756276
20030108,0.1225099785809198,0.05542007972702562,0.0779797158263062,0.08592260989885443,0.11630248677418482,0.13536283619358108,0.10151914017704486,0.11215950328613025,0.03528681945481715,0.1575368300811358
20030109,0.06002417197955949,0.05993575822698514,0.07681449018037835,0.14011054865432157,0.08234218928315415,0.13014445576557215,0.1322761835836645,0.14977257250124315,0.07620154619265757,0.09237808363246394
20030110,0.09672299557279777,0.0943777345470462,0.08728654311164755,0.11925549923646805,0.09492906859617009,0.17805070806232176,0.06056905595822461,0.10182495409134502,0.06425879263945607,0.1027246481845229
20030113,0.1066786130332202,0.05384837924551009,0.07659903965318732,0.12160015700880715,0.0730327091991734,0.1555560942736474,0.12772416869845982,0.11305400235172287,0.0787597652372625,0.09314707129900932
20030114,0.1702130508658311,0.10921841458667117,0.10314815032762381,0.10921227569978209,0.060988900126586976,0.09098078954733849,0.08539248867268845,0.1233870445479733,0.052480893375265014,0.09497799225023963
20030115,0.12335784432619383,0.13335647218420382,0.12641576159414428,0.0882296281337289,0.15891380840782937,0.04847083092788516,0.08532216615993193,0.09748574202265184,0.0694128916988403,0.0690348545445906
20030116,0.08420959885522712,0.08867337490311678,0.09433819146868036,0.11161367088887078,0.07188669634665967,0.1239671793152844,0.11922710364484865,0.12731813554205776,0.06001287539308664,0.11875317364216782
20030117,0.07143459989192409,0.07485540633832705,0.11750426243536993,0.0595548585623491,0.1756962531050584,0.029812262263599877,0.06057590959029644,0.15365089334883755,0.1014662772715554,0.15544927719268223
20030120,0.20643063577000326,0.07775425131728494,0.1691380691414751,0.09828560090056807,0.06999375349978121,0.0726789177654633,0.04054645880808294,0.06551016175204474,0.09543011363052442,0.10423203741477202
20030121,0.1260088528488371,0.09218259651899832,0.19276929771558576,0.0736081037393891,0.06619741418343361,0.0897461993842608,0.10672180291365958,0.05853832031815316,0.07769419648064405,0.11653321589703858
20030122,0.12377668628613751,0.08809823717988745,0.1313422242819566,0.09622720336675258,0.08803158556873214,0.1394438574352926,0.09792278156591552,0.08876363276726937,0.04167112050497278,0.10472267104308342
20030123,0.20265122708488228,0.09033114528626375,0.08866128182494573,0.05646931736512574,0.14644933205859212,0.08754654592313145,0.11084003663870648,0.07912701623259351,0.07324748194355413,0.06467661564220482
20030124,0.06575568001336454,0.1957062341048616,0.06300137050872637,0.0648504997373687,0.07148556177061446,0.1830017576116605,0.13803707603022092,0.07035571651679394,0.04047907014974839,0.10732703355664057
20030127,0.1652001455106013,0.08416133993336704,0.07030153860620533,0.09792715353052342,0.08230928746327348,0.09446153791467667,0.0951570745388544,0.06989158083122524,0.03454886773327194,0.2060414739380012
20030128,0.16935903237584168,0.09222827500915065,0.061817869352422526,0.13498441729649488,0.06398022686057218,0.11571360597638838,0.06664163433117942,0.10895501295404939,0.06625919352476198,0.12006073231913891
20030129,0.10198601949534439,0.0820557069061345,0.09292502116855486,0.09150742506000911,0.12748547165636365,0.08177294562869913,0.10142886113496852,0.12471782833969725,0.06474171647830503,0.1313790041319236
20030130,0.13166168283828752,0.0949089256062164,0.07645495885583159,0.03345190617150034,0.10740630151076191,0.10402289929180816,0.12338850138955174,0.0822081092167137,0.09590436494088815,0.15059235017844047
20030203,0.12663210069356723,0.12207782681239376,0.13206059098733666,0.10692376679216711,0.05234354006396835,0.04727240363254579,0.1362095648512966,0.074866485356649,0.05270129356800992,0.14891242724206566
20030204,0.09050637885177786,0.13768649023143922,0.15001096763312924,0.11177643790937941,0.12569895746201443,0.08696615544318112,0.09396671579031834,0.07448247791491928,0.06353933718311869,0.06536608158072242
20030205,0.019486369216131248,0.10654935418718706,0.09508801171521077,0.1278141851239547,0.15723275040804835,0.1197389468545665,0.10994153132682019,0.11207546326726632,0.06988096146355115,0.08219242643726372
20030206,0.10612801423903888,0.11079235309658883,0.11715713554545082,0.11735405248977293,0.06869257270538036,0.12588684254972246,0.12992697080254825,0.08959997015384398,0.05450527464577144,0.07995681377188195
20030207,0.09023140599684387,0.06350157439771356,0.11670124806112528,0.1426304685172492,0.12531052848852692,0.07378030469738946,0.0891384621700972,0.05820073307768897,0.0995363167134145,0.140968957879951
20030210,0.1309962352261304,0.11685073158823304,0.08101541456546746,0.06194172491663197,0.10313517462746322,0.1342022184737428,0.1186026036543486,0.06266021795767757,0.07801383281768777,0.11258184617261716
20030211,0.06590415239705656,0.13829503808372282,0.1103748158757321,0.05699071641248403,0.0865300174827321,0.11614513349129503,0.12744928227674804,0.06173754836004056,0.1309877700338234,0.10558552558636533
