기준일자,Returns,Volatility,Sharpe Ratio,A005930-삼성전자-종가,A000660-SK하이닉스-종가,A006400-삼성SDI-종가,A005380-현대차-종가,A000270-기아-종가,A005490-POSCO홀딩스-종가,A012330-현대모비스-종가,A015760-한국전력-종가,A033780-KT&G-종가,A003550-LG-종가
20120607,0.5363836791680037,0.3150833578194343,1.702354839938549,0.00852162527076868,0.04004125350393083,0.007426785453225308,0.08847003566432667,0.3335926064151786,0.020081966598085536,0.12794974673947662,0.04473020046020553,0.3260272252930108,0.0031585546017915134
20120608,0.5516394124621553,0.3152182617052855,1.7500236486232281,0.00852162527076868,0.04004125350393083,0.007426785453225308,0.08847003566432667,0.3335926064151786,0.020081966598085536,0.12794974673947662,0.04473020046020553,0.3260272252930108,0.0031585546017915134
20120611,0.5542089522805829,0.31508575451785126,1.7589146584193924,0.00852162527076868,0.04004125350393083,0.007426785453225308,0.08847003566432667,0.3335926064151786,0.020081966598085536,0.12794974673947662,0.04473020046020553,0.3260272252930108,0.0031585546017915134
20120612,0.5641159856838579,0.31511118842314684,1.7902124913645883,0.00852162527076868,0.04004125350393083,0.007426785453225308,0.08847003566432667,0.3335926064151786,0.020081966598085536,0.12794974673947662,0.04473020046020553,0.3260272252930108,0.0031585546017915134
20120613,0.5533048759401227,0.3151045712238124,1.7559404923615702,0.00852162527076868,0.04004125350393083,0.007426785453225308,0.08847003566432667,0.3335926064151786,0.020081966598085536,0.12794974673947662,0.04473020046020553,0.3260272252930108,0.0031585546017915134
20120614,0.5485436320042084,0.3150531943159145,1.7411143321218485,0.00852162527076868,0.04004125350393083,0.007426785453225308,0.08847003566432667,0.3335926064151786,0.020081966598085536,0.12794974673947662,0.04473020046020553,0.3260272252930108,0.0031585546017915134
20120615,0.5620437700792583,0.31477693767231246,1.7855303321628802,0.00852162527076868,0.04004125350393083,0.007426785453225308,0.08847003566432667,0.3335926064151786,0.020081966598085536,0.12794974673947662,0.04473020046020553,0.3260272252930108,0.0031585546017915134
20120618,0.5541055393541787,0.3147222027544824,1.7606178862011885,0.00852162527076868,0.04004125350393083,0.007426785453225308,0.08847003566432667,0.3335926064151786,0.020081966598085536,0.12794974673947662,0.04473020046020553,0.3260272252930108,0.0031585546017915134
20120619,0.6022949066648299,0.31491337312453477,1.912573291787923,0.00852162527076868,0.04004125350393083,0.007426785453225308,0.08847003566432667,0.3335926064151786,0.020081966598085536,0.12794974673947662,0.04473020046020553,0.3260272252930108,0.0031585546017915134
20120620,0.6081208053233703,0.31477868463428255,1.9318995694702128,0.00852162527076868,0.04004125350393083,0.007426785453225308,0.08847003566432667,0.3335926064151786,0.020081966598085536,0.12794974673947662,0.04473020046020553,0.3260272252930108,0.0031585546017915134
20120621,0.6146624016107564,0.31477284700157787,1.9527173562326843,0.00852162527076868,0.04004125350393083,0.007426785453225308,0.08847003566432667,0.3335926064151786,0.020081966598085536,0.12794974673947662,0.04473020046020553,0.3260272252930108,0.0031585546017915134
20120622,0.5893948806911261,0.3143193144095807,1.875146876666644,0.00852162527076868,0.04004125350393083,0.007426785453225308,0.08847003566432667,0.3335926064151786,0.020081966598085536,0.12794974673947662,0.04473020046020553,0.3260272252930108,0.0031585546017915134
20120625,0.5861176140821034,0.31447747143021043,1.863782519671448,0.00852162527076868,0.04004125350393083,0.007426785453225308,0.08847003566432667,0.3335926064151786,0.020081966598085536,0.12794974673947662,0.04473020046020553,0.3260272252930108,0.0031585546017915134
20120626,0.5874249055872409,0.3144935059571907,1.8678443098510338,0.00852162527076868,0.04004125350393083,0.007426785453225308,0.08847003566432667,0.3335926064151786,0.020081966598085536,0.12794974673947662,0.04473020046020553,0.3260272252930108,0.0031585546017915134
20120627,0.5640025617256417,0.31502982742458724,1.7903147976064402,0.00852162527076868,0.04004125350393083,0.007426785453225308,0.08847003566432667,0.3335926064151786,0.020081966598085536,0.12794974673947662,0.04473020046020553,0.3260272252930108,0.0031585546017915134
20120628,0.5415359948162898,0.3151904866780141,1.7181229056875094,0.00852162527076868,0.04004125350393083,0.007426785453225308,0.08847003566432667,0.3335926064151786,0.020081966598085536,0.12794974673947662,0.04473020046020553,0.3260272252930108,0.0031585546017915134
20120629,0.5528730247224053,0.3150099416481569,1.755097067190102,0.00852162527076868,0.04004125350393083,0.007426785453225308,0.08847003566432667,0.3335926064151786,0.020081966598085536,0.12794974673947662,0.04473020046020553,0.3260272252930108,0.0031585546017915134
20120702,0.5633685763226447,0.3152790508074913,1.7868887097945378,0.00852162527076868,0.04004125350393083,0.007426785453225308,0.08847003566432667,0.3335926064151786,0.020081966598085536,0.12794974673947662,0.04473020046020553,0.3260272252930108,0.0031585546017915134
20120703,0.5696464283632864,0.31527589358721114,1.8068188527890467,0.00852162527076868,0.04004125350393083,0.007426785453225308,0.08847003566432667,0.3335926064151786,0.020081966598085536,0.12794974673947662,0.04473020046020553,0.3260272252930108,0.0031585546017915134
20120704,0.577937469733511,0.3149009648762761,1.8352991390819693,0.00852162527076868,0.04004125350393083,0.007426785453225308,0.08847003566432667,0.3335926064151786,0.020081966598085536,0.12794974673947662,0.04473020046020553,0.3260272252930108,0.0031585546017915134
20120705,0.5814712546497468,0.3148366415924759,1.8468982889304302,0.00852162527076868,0.04004125350393083,0.007426785453225308,0.08847003566432667,0.3335926064151786,0.020081966598085536,0.12794974673947662,0.04473020046020553,0.3260272252930108,0.0031585546017915134
20120706,0.5743849736686787,0.3147831188605148,1.8247006883593317,0.00852162527076868,0.04004125350393083,0.007426785453225308,0.08847003566432667,0.3335926064151786,0.020081966598085536,0.12794974673947662,0.04473020046020553,0.3260272252930108,0.0031585546017915134
20120709,0.5738695921688282,0.3147880801850369,1.8230346963312571,0.00852162527076868,0.04004125350393083,0.007426785453225308,0.08847003566432667,0.3335926064151786,0.020081966598085536,0.12794974673947662,0.04473020046020553,0.3260272252930108,0.0031585546017915134
20120710,0.5979141496022644,0.31346311502300717,1.9074465892370764,0.00852162527076868,0.04004125350393083,0.007426785453225308,0.08847003566432667,0.3335926064151786,0.020081966598085536,0.12794974673947662,0.04473020046020553,0.3260272252930108,0.0031585546017915134
20120711,0.5975707357291479,0.3134506653752592,1.9064267578240541,0.00852162527076868,0.04004125350393083,0.007426785453225308,0.08847003566432667,0.3335926064151786,0.020081966598085536,0.12794974673947662,0.04473020046020553,0.3260272252930108,0.0031585546017915134
20120712,0.5731297390934218,0.3125483948842183,1.8337311868318322,0.00852162527076868,0.04004125350393083,0.007426785453225308,0.08847003566432667,0.3335926064151786,0.020081966598085536,0.12794974673947662,0.04473020046020553,0.3260272252930108,0.0031585546017915134
20120713,0.5679657274274729,0.3125277915231925,1.8173287075025597,0.00852162527076868,0.04004125350393083,0.007426785453225308,0.08847003566432667,0.3335926064151786,0.020081966598085536,0.12794974673947662,0.04473020046020553,0.3260272252930108,0.0031585546017915134
20120716,0.5800402216923894,0.31240105759274484,1.8567165750397263,0.00852162527076868,0.04004125350393083,0.007426785453225308,0.08847003566432667,0.3335926064151786,0.020081966598085536,0.12794974673947662,0.04473020046020553,0.3260272252930108,0.0031585546017915134
20120717,0.5861426006244638,0.312379070762247,1.8763824323895864,0.00852162527076868,0.04004125350393083,0.007426785453225308,0.08847003566432667,0.3335926064151786,0.020081966598085536,0.12794974673947662,0.04473020046020553,0.3260272252930108,0.0031585546017915134
20120718,0.5654621102958348,0.3124946123020947,1.8095099500441674,0.00852162527076868,0.04004125350393083,0.007426785453225308,0.08847003566432667,0.3335926064151786,0.020081966598085536,0.12794974673947662,0.04473020046020553,0.3260272252930108,0.0031585546017915134
20120719,0.5335803167526171,0.31184996345760285,1.7110161272318356,0.00852162527076868,0.04004125350393083,0.007426785453225308,0.08847003566432667,0.3335926064151786,0.020081966598085536,0.12794974673947662,0.04473020046020553,0.3260272252930108,0.0031585546017915134
20120720,0.5586246668138575,0.31283593999738696,1.7856793142709995,0.00852162527076868,0.04004125350393083,0.007426785453225308,0.08847003566432667,0.3335926064151786,0.020081966598085536,0.12794974673947662,0.04473020046020553,0.3260272252930108,0.0031585546017915134
