기준일자,KOSPI지수-종가-REGIME0,KOSPI지수-종가-REGIME1,KOSPI지수-종가-REGIME2
20030102,0.9890934267408021,0.010873132864166742,3.3440395030911436e-05
20030103,0.9890613288677322,0.010901644827000585,3.702630526769675e-05
20030106,0.9910719005799961,0.008654304277794022,0.00027379514220965444
20030107,0.9921988415944328,0.0076992690684983996,0.00010188933706821684
20030108,0.9899439762148571,0.01004502526352306,1.0998521620208087e-05
20030109,0.9923771944871286,0.007528173469418777,9.463204345235284e-05
20030110,0.9906629588884801,0.009315683607233533,2.135750428631055e-05
20030113,0.9706453154784666,0.02903672750003349,0.0003179570215001463
20030114,0.9761558042912226,0.023581307184371958,0.0002628885244053936
20030115,0.9815975736701484,0.01820647270761115,0.0001959536222400469
20030116,0.9832301368899348,0.01660686422347208,0.00016299888659277112
20030117,0.9926813389105169,0.007296808310654861,2.1852778827826694e-05
20030120,0.9915920031783011,0.008382745426476181,2.525139522254414e-05
20030121,0.990756980953255,0.009212805157807442,3.0213888937347272e-05
20030122,0.9892049701762791,0.01070183627450462,9.319354921640544e-05
20030123,0.9833215722302326,0.016418560419322714,0.00025986735044481943
20030124,0.9854847217147733,0.014116808655576548,0.0003984696296506951
20030127,0.9718174272206496,0.027885544757220496,0.00029702802213035545
20030128,0.9727096006362582,0.02699409634768802,0.00029630301605344973
20030129,0.9311002509229483,0.06792673329893358,0.0009730157781179472
20030130,0.8045003468057923,0.19078382909575492,0.004715824098452788
20030203,0.7053052748708942,0.28633571862500845,0.008359006504097734
20030204,0.019867822974018814,0.9477327844003567,0.03239939262562464
20030205,0.5379447568682987,0.44703447446044303,0.015020768671258223
20030206,0.3986100069885806,0.5799687681228931,0.021421224888525943
20030207,0.13808558105463098,0.8264445668710093,0.03546985207436022
20030210,0.00013199941825059791,0.9365265917769069,0.06334140880484221
20030211,0.02533749554363112,0.9526317918699974,0.02203071258637148
20030212,0.0001028855201211393,0.9025339284107063,0.09736318606917196
20030213,0.00019303847648546564,0.9011058226538649,0.09870113886964922
20030214,0.00012194102413496978,0.9616509698623459,0.038227089113519234
20030217,0.00011510703132772602,0.8875585277391562,0.11232636522951606
20030218,0.0006497337688693514,0.9051409469971499,0.0942093192339812
20030219,0.0008327142233676075,0.9184783856964668,0.08068890008016522
20030220,0.0008419967082458977,0.9684211464090071,0.030736856882746987
20030221,0.001044131386502533,0.9699154659935714,0.029040402619926527
20030224,0.000690654674809056,0.9400197930497224,0.05928955227546842
20030225,0.002336869381276515,0.9485379596057871,0.04912517101293671
20030226,0.0003114853314620131,0.9487049901496493,0.05098352451888881
20030227,0.00021818945995370873,0.9399348024653359,0.05984700807471084
20030228,0.00039835736000114837,0.9771871436162122,0.022414499023786588
20030303,0.0002019357495569671,0.9734955163345055,0.026302547915937176
20030304,0.0012567329345190088,0.9024698738337152,0.09627339323176615
20030305,0.00022412003574085403,0.9616389796501346,0.03813690031412424
20030306,0.00024552233216593167,0.9187265918482055,0.08102788581962843
20030307,2.0226853271465297e-05,0.8449714784642516,0.155008294682477
20030310,1.0686827369608686e-05,0.7836545565488003,0.21633475662382987
20030311,1.2442109174929473e-05,0.6815226480502568,0.3184649098405681
20030312,4.00889576738874e-05,0.7610575793654369,0.23890233167688918
20030313,6.128190647009859e-06,0.42247192894816077,0.5775219428611923
20030314,2.8125854062023305e-05,0.88396795385055,0.11600392029538797
20030317,1.8377351962461302e-05,0.18876974751867023,0.8112118751293678
20030318,1.6404567731758362e-05,0.7570797755012462,0.24290381993102247
20030319,7.303070203068459e-05,0.8410105893333573,0.15891637996461172
20030320,9.456846922720378e-05,0.8234218834315071,0.17648354809926536
20030321,0.0005513101221842893,0.055243028234175026,0.9442056616436408
20030324,0.0007314976111111779,0.8748865087052549,0.12438199368363358
20030325,0.0006465924073237592,0.10739472421089541,0.8919586833817811
20030326,0.00017246163022581424,0.8956935291367556,0.10413400923301892
20030327,0.00013844949681491168,0.8988796685810793,0.10098188192210597
20030328,8.068959063315676e-05,0.06700245109459424,0.9329168593147725
20030331,0.0001678693589133146,0.0791822567490201,0.9206498738920661
20030401,1.73360154994099e-05,0.05464121334891919,0.9453414506355817
20030402,4.566608542167679e-05,0.870819476750698,0.12913485716388012
20030403,4.153917249499134e-05,0.03753363227831014,0.9624248285491951
20030404,4.829960421381665e-05,0.036800762864060935,0.9631509375317249
20030407,0.00022295383322271786,0.8476718274424546,0.1521052187243225
20030408,0.0010188690689089998,0.875618659403698,0.12336247152739344
20030409,0.001915151341865899,0.8337842617795861,0.16430058687854854
20030410,0.0002929799050218787,0.9377506122898306,0.061956407805147315
20030411,0.0004734159427999032,0.9065246856637473,0.09300189839345241
20030414,0.0006515566189444861,0.9581292512613435,0.04121919211971167
20030415,0.010135623160134569,0.9706287097742067,0.0192356670656591
20030416,0.0027386921657028794,0.96568986504045,0.03157144279384712
20030417,0.0023047585449326663,0.9771982528761718,0.020496988578895356
20030418,0.0014794078894138775,0.9857984166859068,0.01272217542467892
20030421,0.003557432113867794,0.9804260087300984,0.016016559156033363
20030422,0.005593638725549607,0.9797711958553701,0.014635165419080767
20030423,0.0025102479092185942,0.9893047540083897,0.008184998082391749
20030424,0.0009063018695028231,0.9864971716447247,0.012596526485772157
20030425,0.001060485848086303,0.9815873018229686,0.017352212328944874
20030428,0.00017102844333492676,0.9780568993664632,0.02177207219020177
20030429,7.80853955680148e-05,0.9737646331805854,0.02615728142384624
20030430,0.00027376804159093856,0.9752257248530647,0.024500507105343933
20030502,0.0003858237440353226,0.9774776569580657,0.022136519297898876
