YYYYMM,PRICE_FIRST,PRICE_LAST,PROFIT,VARIANCE,Sharp-Ratio,Sharp-Ratio-Sum
200301,635.17,591.86,-0.06818646976400011,0.10353255141201159,-0.6585993374455688,-0.6585993374455688
200302,600.41,575.43,-0.041604903316067386,0.09382610709470245,-0.4434256584265389,-1.1020249958721076
200303,590.04,535.7,-0.09209545115585371,0.12747377977050053,-0.7224658382426506,-1.824490834114758
200304,538.56,599.35,0.11287507427213325,0.12140270419631453,0.9297574960901064,-0.8947333380246517
200305,597.44,633.42,0.06022362078200305,0.08163301442166669,0.7377360888687059,-0.15699724915594582
200306,648.71,669.93,0.03271107274436946,0.07096698906473502,0.46093364218300026,0.30393639302705444
200307,674.75,713.52,0.05745831789551683,0.059324919227494874,0.96853596505003,1.2724723580770845
200308,727.26,759.47,0.04428952506668872,0.060816239937237025,0.7282516168772676,2.000723974954352
200309,764.11,697.52,-0.08714713850100121,0.07376715976959439,-1.1813812375750683,0.8193427373792839
200310,704.29,782.36,0.1108492240412331,0.07122116694753756,1.5564084217110072,2.3757511590902913
200311,791.96,796.18,0.005328551947067924,0.0875552031228913,0.060859340815974584,2.436610499906266
200312,807.39,810.71,0.004112015259044637,0.0625961442484953,0.0656911908618634,2.5023016907681295
200401,821.26,848.5,0.03316854589289629,0.0446913930184927,0.7421685396821618,3.2444702304502915
200402,854.89,883.42,0.03337271461825495,0.051229476230422205,0.6514357958326507,3.895906026282942
200403,899.21,880.5,-0.020807152945363193,0.06832599482435935,-0.3045276252303479,3.5913784010525944
200404,882.75,862.84,-0.02255451713395635,0.07531668439653574,-0.29946242741128637,3.291915973641308
200405,866.11,803.84,-0.07189617946912052,0.15402262739427544,-0.4667897222988983,2.8251262513424096
200406,815.77,785.79,-0.03675055469066038,0.11203138279960877,-0.32803803516730956,2.4970882161751
200407,778.03,735.34,-0.054869349510944236,0.0704747068775956,-0.7785679705804861,1.7185202455946138
200408,719.59,803.57,0.11670534609986244,0.05493937213421781,2.1242570048807496,3.8427772504753634
200409,817.36,835.09,0.021691788196143705,0.05635507236616136,0.38491279108300164,4.227690041558365
200410,846.01,834.84,-0.013203153627025637,0.08936364919227742,-0.14774635711907141,4.079943684439293
200411,835.66,878.06,0.05073833855874396,0.06687990652179301,0.758648467043098,4.838592151482391
200412,876.8,895.92,0.0218065693430657,0.05255876431530141,0.41489882091305486,5.253490972395446
200501,893.71,932.7,0.043627127367938154,0.05294493537834351,0.8240094554121093,6.077500427807555
200502,923.69,1011.36,0.09491279541837624,0.05155657041592597,1.8409447070020277,7.918445134809583
200503,1007.48,965.68,-0.04148965736292538,0.06065225634049035,-0.684057937267993,7.23438719754159
200504,981.9,911.3,-0.0719014156227722,0.05734996678069071,-1.2537307283494514,5.980656469192139
200505,918.42,970.21,0.056390322510398376,0.04847664391432529,1.1632472456232583,7.143903714815398
200506,969.51,1008.16,0.039865499066538745,0.041283497358516975,0.9656521762276109,8.109555891043009
200507,1018.02,1111.29,0.09161902516649965,0.03311615757254324,2.7665958819588843,10.876151773001894
200508,1115.98,1083.33,-0.02925679671678712,0.06546341207827545,-0.4469182981449911,10.429233474856902
200509,1106.37,1221.01,0.10361813859739519,0.05418155528128349,1.9124245891329943,12.341658063989897
200510,1242.78,1158.11,-0.06812951608490649,0.08225362391820845,-0.8282858899038086,11.513372174086088
200511,1188.95,1297.44,0.09124858068043232,0.05995883240017467,1.52185386252062,13.035226036606709
200512,1305.98,1379.37,0.05619534755509263,0.032288279428948095,1.7404255831826896,14.775651619789398
200601,1389.27,1399.83,0.007601114254248595,0.07781943078773504,0.09767630240038444,14.873327922189782
200602,1375.97,1371.59,-0.003183208936241422,0.06566960371498477,-0.048473094950549606,14.824854827239232
200603,1367.7,1359.6,-0.0059223513928494086,0.05965715550567075,-0.09927311053720045,14.725581716702031
200604,1379.75,1419.73,0.028976263815908693,0.05582956585100919,0.5190128809748734,15.244594597676905
200605,1434.9,1317.7,-0.08167816572583458,0.07784380557653821,-1.0492571004320481,14.195337497244857
200606,1295.09,1295.15,4.6328826568171175e-05,0.09714789744308693,0.00047688964751205687,14.19581438689237
200607,1294.61,1297.82,0.002479511204146451,0.06747479666831588,0.03674722009663727,14.232561606989007
200608,1287.36,1352.74,0.05078610489684324,0.04728575690765153,1.0740254194519472,15.306587026440955
200609,1356.67,1371.41,0.010864838169930793,0.04303581805467162,0.2524603611839881,15.559047387624943
200610,1374.22,1364.55,-0.007036719011512038,0.04615877501779113,-0.15244596523195975,15.406601422392983
200611,1374.35,1432.21,0.04209990177174674,0.03209829980221739,1.3115928890675521,16.718194311460536
200612,1434.36,1434.46,6.971750467116793e-05,0.04584837994631099,0.0015206099921700172,16.719714921452706
200701,1435.26,1360.23,-0.05227624263199697,0.0485166335843467,-1.0774911359238095,15.642223785528897
200702,1382.9,1417.34,0.024904186853713085,0.05499064911679008,0.4528803942797829,16.09510417980868
200703,1414.47,1452.55,0.026921744540357822,0.056759910002744024,0.4743091477603877,16.569413327569066
200704,1459.53,1542.24,0.05666892766849605,0.03784541589197992,1.4973789118936633,18.06679223946273
200705,1553.3,1700.91,0.09502993626472679,0.03480002615505556,2.730743242585792,20.79753548204852
200706,1716.24,1743.6,0.015941826317997426,0.06002915610126834,0.26556805648081727,21.063103538529337
200707,1771.35,1933.27,0.0914105061111582,0.08258752635989565,1.1068318684448089,22.169935406974144
200708,1856.45,1873.24,0.009044143391957749,0.14304668087020708,0.06322511879995259,22.233160525774096
