기준일자,KOSPI지수,A000270(기아),A000660(SK하이닉스),A005380(현대차),A005490(POSCO홀딩스),A005930(삼성전자),A005935(삼성전자우),A006400(삼성SDI),A035420(NAVER),A035720(카카오),A051910(LG화학)
20010102,520.95,6800,89118,11700,76500,3350,1398,47500,,2935,
20010103,521.43,6680,89511,11900,77300,3370,1398,47600,,3283,
20010104,558.02,6900,102859,12750,83500,3780,1518,49400,,3676,
20010105,580.85,6900,118170,13650,86500,3900,1580,51500,,4113,
20010108,586.65,7140,120525,14150,86200,3880,1628,51500,,4461,
20010109,589.92,7500,116207,13700,89300,3840,1584,52900,,4996,
20010110,560.81,7350,98933,12100,93000,3710,1490,48000,,4399,
20010111,561.79,6710,103644,12100,92400,3640,1530,52500,,4925,
20010112,587.87,7290,104429,13100,98000,3840,1616,57400,,5514,
20010115,599.00,7000,117777,13100,97000,3920,1686,59900,,6174,
20010116,603.42,6970,131518,13600,93500,4140,1770,60100,,6915,
20010117,595.83,7120,122685,13800,89500,4220,1740,60300,,6799,
20010118,604.05,7150,126611,14600,94400,4400,1828,60500,,5987,
20010119,619.78,7400,133088,15500,98600,4600,1906,62000,,5728,
20010122,627.45,7530,134855,15350,97400,4550,1926,62800,,6415,
20010126,591.73,7100,116011,14900,97500,3980,1758,58000,,6228,
20010129,596.54,7400,112674,15000,99000,4020,1792,59700,,5684,
20010130,591.34,7400,114833,14600,87100,4110,1838,60000,,5389,
20010131,617.91,7500,114833,15350,97000,4400,1900,60500,,6031,
20010201,612.30,7530,108551,15700,97900,4270,1880,59000,,6228,
20010202,608.48,7550,106000,14900,98000,4290,1860,59500,,6139,
20010205,579.16,7400,96774,14450,93500,4030,1780,58900,,5443,
20010206,586.58,7520,95596,14700,92500,4010,1740,60000,,5969,
20010207,576.19,7540,94320,14700,92000,3900,1690,59900,,5532,
20010208,591.57,7600,98933,15100,92000,4060,1718,61600,,5719,
20010209,595.47,7750,95203,15500,92900,4070,1730,63800,,5657,
20010212,599.20,7770,94811,15800,95800,3970,1692,65600,,5764,
20010213,598.78,7920,93338,16300,95900,3980,1668,65300,,5862,
20010214,603.83,7950,91474,17050,96700,3980,1660,66500,,5800,
20010215,603.63,7870,91375,16500,95700,4130,1720,67500,,6496,
20010216,604.92,7800,87548,16900,96000,4250,1750,66000,,6585,
20010219,596.67,7790,82444,16700,95600,4190,1720,65900,,6781,
20010220,608.74,7980,84211,17000,98000,4240,1740,67900,,6513,
20010221,594.53,8000,80088,17200,97000,4160,1700,66100,,6076,
20010222,583.41,7970,75966,17350,97000,4010,1630,67800,,5675,
20010223,583.52,7810,78518,17350,99000,3840,1600,69400,,6014,
20010226,585.32,7900,77340,17500,97500,3840,1598,69400,,5817,
20010227,577.57,7900,75181,16500,99500,3790,1578,68300,,5344,
20010228,578.10,7900,73611,16000,101000,3740,1578,64100,,5202,
20010302,559.44,7590,66250,16400,102000,3610,1600,62000,,4604,
20010305,565.38,7510,67918,17500,103000,3720,1640,63500,,5148,
20010306,568.15,7620,69096,17450,104000,3800,1700,63000,,4827,
20010307,568.64,7630,67918,16800,99400,4000,1730,64500,,4791,
20010308,579.28,8000,68016,17350,101000,4010,1740,65400,,5362,
20010309,565.76,7590,65464,17300,101500,3840,1686,64400,,5112,
20010312,545.05,7460,66937,17200,98000,3670,1596,61700,,4631,
20010313,527.97,7200,58888,16300,92000,3640,1596,60000,,4470,
20010314,543.28,7360,61833,16500,92100,3900,1670,60100,,4729,
20010315,541.83,7730,62127,16900,90700,3920,1670,62500,,4818,
20010316,538.67,7730,61637,16850,92600,3890,1682,62600,,4666,
20010319,534.33,7730,61048,16200,92000,3800,1650,61200,,4639,
20010320,531.59,7800,60557,15650,92100,3820,1640,62900,,4765,
20010321,532.59,7950,58692,15700,90900,3870,1644,65000,,4738,
20010322,527.05,7900,58888,15900,89500,3980,1680,65000,,4586,
20010323,537.97,7930,59575,17000,90000,4300,1788,65000,,4541,
20010326,545.98,7580,68507,17000,91000,4340,1804,67100,,4729,
20010327,532.90,7470,61833,16000,91500,4150,1748,64000,,4515,
20010328,528.79,7480,59674,16750,91300,4150,1748,62300,,4354,
20010329,523.80,7300,63992,17000,91100,4090,1714,58200,,4211,
20010330,523.22,7300,61931,17200,90000,4160,1710,54000,,4122,
20010402,515.20,7580,60655,17400,92100,3990,1670,55100,,4488,
20010403,503.26,7790,57514,17500,90000,3800,1618,55400,,4149,
20010404,493.69,7700,54177,17000,91000,3660,1590,53800,,3935,
20010406,506.22,7320,58103,17150,92800,3840,1660,54000,,4193,
20010409,497.46,7310,54962,17250,93700,3710,1616,52900,,3952,
20010410,491.21,7120,51625,17450,93000,3640,1554,51500,,3961,
20010411,507.53,7100,50448,18400,92500,3720,1608,51400,,4113,
20010412,514.21,6850,51429,17700,86700,4010,1690,53100,,4158,
20010413,516.10,6930,50350,17700,86000,4060,1680,52700,,4122,
20010416,508.35,6940,49172,18300,85000,3940,1646,52600,,4095,
20010417,513.97,7000,47700,17600,85000,3970,1664,52400,,4149,
20010418,540.00,7400,54766,18200,89400,4280,1750,54800,,4639,
20010419,563.31,7400,62912,18100,87800,4700,1884,57200,,5193,
20010420,556.29,7700,64483,17700,88700,4490,1800,57000,,5443,
20010423,560.94,7660,66838,17900,90600,4540,1816,56900,,6094,
20010424,555.64,7660,60459,17600,91300,4400,1780,54800,,6772,
20010425,566.34,7870,63403,18400,94000,4520,1818,54800,,6433,18489
20010426,561.62,7650,60753,18450,95000,4470,1840,54900,,6183,17636
20010427,556.63,7520,60361,19000,95400,4340,1832,53800,,5942,18062
20010430,577.36,7820,66446,20600,98000,4580,1960,54700,,6647,18204
20010502,583.70,8700,66446,22000,101500,4580,1998,55000,,7441,18489
20010503,584.40,9350,67329,21400,101000,4600,1978,58000,,7254,21262
20010504,585.60,9350,68016,22100,99900,4460,1964,58900,,8120,21191
20010507,596.50,9230,71746,22300,101000,4600,2000,59400,,9083,21120
20010508,590.91,9230,82444,21300,100000,4590,1960,59700,,8566,20978
20010509,578.84,9400,77144,21500,98200,4500,1924,59000,,8352,20764
20010510,581.38,9600,80481,22550,96000,4500,1944,58000,,8584,20836
20010511,583.06,9700,79205,22600,96000,4410,1920,56800,,8352,21191
20010514,584.08,9540,91081,23100,98100,4430,1928,56500,,8352,21120
20010515,581.30,9890,85977,22350,100500,4340,1920,55400,,8387,21120
20010516,572.40,9300,79794,21600,101500,4210,1880,56000,,7780,20622
20010517,596.39,9500,81070,22000,111000,4430,1920,56500,,8423,22258
20010518,600.54,10300,79303,22800,113000,4410,1910,58900,,7968,24960
20010521,618.96,11150,81364,24850,118000,4580,2040,59600,,8093,25956
20010522,617.99,10900,80874,23650,115000,4620,2040,60300,,8200,25316
20010523,622.60,10650,79303,24250,116000,4700,2070,60600,,7914,26169
20010524,622.28,10850,78420,25000,110000,4530,2000,62000,,7709,26453
20010525,624.11,10700,86762,24450,107500,4440,1972,63500,,7977,27093
20010528,618.47,10150,84603,23500,106500,4450,1936,64000,,7780,27022
20010529,632.05,10800,89707,24300,108000,4640,1980,64500,,8013,26880
20010530,628.42,10550,88725,24650,108000,4470,1918,63000,,7745,27520
20010531,612.16,10150,85192,25250,104500,4240,1810,61300,,7441,26596
20010601,607.07,10250,84211,25000,104500,4240,1800,61000,,7129,25173
20010604,610.91,10200,84996,26000,105000,4240,1780,60200,,6933,24747
20010605,597.66,9950,81659,25600,104000,4060,1742,60000,,6924,24747
20010607,601.14,10000,85290,25000,100000,4280,1804,59900,,6960,24036
20010608,621.78,10400,91081,26000,99800,4470,1896,61500,,7441,25956
20010611,608.23,9950,89216,26100,97700,4280,1816,62800,,7067,26169
20010612,607.15,9930,90492,26100,97400,4220,1816,62800,,7129,25813
20010613,614.05,9840,84898,25700,97700,4280,1848,63700,,7138,25316
20010614,613.75,9800,81070,25600,99900,4230,1850,63200,,7084,25884
20010615,618.96,9900,80481,26300,103000,4190,1814,62100,,7067,25529
20010618,608.78,9700,72924,26600,100000,4100,1750,61400,,6888,25316
20010619,608.91,10350,71059,28300,103000,4110,1744,60900,,6906,24604
20010620,595.72,10000,64090,28700,98000,4000,1696,61800,,6603,24036
20010621,595.53,10200,64875,28650,98500,3960,1668,62400,,6719,23609
20010622,599.08,10550,62814,28650,101000,3870,1638,61500,,6576,24178
20010625,598.02,10600,62029,29500,100000,3870,1638,61000,,6317,24747
20010626,588.71,10450,58594,28800,98800,3780,1600,60400,,6174,25316
20010627,584.76,10250,54177,27850,99300,3720,1568,60600,,6299,25600
20010628,583.27,10400,53981,27300,98000,3750,1570,61300,,6103,24818
20010629,595.13,10900,54864,28300,104000,3840,1610,62700,,6299,24604
20010702,596.74,11200,54177,26900,104000,3860,1624,62500,,6335,24533
20010703,594.31,10950,52116,25800,100500,3890,1634,61600,,6335,24676
20010704,597.25,10900,51429,26000,102000,3940,1660,61800,,6263,24604
20010705,593.61,11000,48681,27000,104000,3860,1640,61600,,6103,24178
20010706,578.54,10550,45442,26100,101500,3670,1598,60400,,5773,24036
20010709,560.00,10150,40338,25500,102500,3420,1504,58700,,5389,23040
20010710,558.60,10100,41614,25800,103000,3400,1480,57100,,5336,22542
20010711,553.65,10050,39848,26700,102000,3380,1428,54800,,5220,22613
20010712,559.95,9940,41320,26300,100000,3520,1498,55500,,5844,23609
20010713,548.49,9710,37100,25750,100000,3400,1436,54000,,5675,23609
20010716,548.93,9200,33075,26400,99500,3340,1400,53300,,6067,23111
20010718,540.53,8650,33174,26400,95500,3350,1402,50400,,5701,22756
20010719,545.74,8350,29738,24900,93000,3540,1442,51000,,6121,22044
20010720,537.71,8580,27481,23200,90500,3520,1470,50400,,5898,22044
20010723,524.21,8100,23457,21300,90500,3460,1442,50400,,5951,21618
20010724,526.62,8000,25911,21700,88500,3470,1490,51500,,6067,20764
20010725,526.08,8450,22574,23050,85000,3570,1500,51500,,5835,20764
20010726,529.22,8660,23751,22900,84900,3630,1540,52700,,5746,20764
20010727,541.13,8680,26794,22950,86100,3710,1566,54100,,5764,21476
20010730,533.53,8450,26205,21900,87300,3710,1540,52600,,5568,20907
20010731,541.55,8660,26990,22050,88200,3790,1558,53000,,5648,20622
20010801,562.79,8850,31014,22300,88600,3960,1620,54000,,6014,21049
20010802,567.46,9280,31701,23200,90900,3910,1636,55000,,5915,20409
20010803,568.69,9580,31898,23000,92900,3990,1648,55400,,5960,21831
20010806,569.37,9190,35137,22700,90400,3980,1642,56000,,6246,21831
20010807,567.50,8710,33075,22000,88600,3860,1604,56800,,6576,21831
20010808,565.94,8790,31701,22300,87600,3800,1576,56500,,6371,22258
20010809,549.67,8360,30033,21900,86000,3660,1518,54800,,6451,21191
20010810,555.34,8340,30327,21250,86900,3730,1556,55500,,6389,21049
20010813,562.00,8350,29542,20700,86000,3830,1560,54700,,6281,21689
20010814,577.15,8540,32781,21000,88500,3950,1622,55200,,6424,22471
20010816,580.95,8560,32781,20250,89500,3900,1602,54900,,6255,22969
20010817,580.99,8570,31996,20100,90000,3920,1616,54700,,6728,23751
20010820,567.09,8480,29935,19800,90100,3800,1580,52200,,6781,22898
20010821,568.68,8600,30720,21200,92000,3720,1570,54000,,6772,23040
20010822,574.87,8600,31996,21750,93000,3850,1594,53700,,7316,22898
20010823,570.07,8600,27481,20900,93500,3850,1594,53200,,7049,23182
20010824,569.31,8500,24635,20700,93000,3840,1586,53000,,7192,23040
20010827,578.74,8800,21003,21450,95000,3980,1620,54300,,7013,23751
20010828,576.51,8930,21494,22400,95100,3940,1614,55000,,6736,23751
20010829,565.63,8800,18353,22200,94200,3930,1612,54400,,6353,23467
20010830,564.36,8700,17274,22400,93600,3920,1620,53900,,6255,23467
20010831,545.11,8520,16292,21300,90500,3800,1600,53000,,5800,22756
20010903,541.83,8450,15703,20700,91000,3760,1580,53600,,5889,22969
20010904,558.79,8700,18059,22000,95000,3930,1636,54600,,5996,22969
20010905,551.91,8760,19237,22350,93700,3790,1580,54500,,5800,23324
20010906,552.59,8760,22083,22200,94700,3770,1588,53100,,5978,22613
20010907,555.08,8790,25322,23000,95000,3820,1564,52500,,6031,23182
20010910,550.73,8670,27481,22900,91400,3830,1564,52200,,5898,22471
20010911,540.57,8750,23359,22100,88500,3740,1530,52500,,5791,22542
20010912,475.60,7440,19924,18800,80100,3230,1312,45500,,5104,19200
20010913,499.25,7500,22868,18750,84100,3430,1384,47600,,5059,20764
20010914,482.29,6400,19531,17000,83100,3390,1352,47600,,4541,20622
20010917,468.76,6200,16685,16100,84000,3280,1266,46000,,4283,21333
20010918,484.93,6700,19138,16850,84400,3350,1320,46000,,4791,21333
20010919,486.75,6910,18550,16700,83000,3280,1294,45800,,4979,21191
20010920,480.27,6560,18157,15750,80300,3080,1240,43200,,4889,20622
20010921,472.31,6300,17961,14950,74000,2850,1200,40000,,5469,20622
20010924,482.19,6780,18255,15550,75200,2960,1220,40400,,5371,20409
20010925,472.13,6560,17470,15750,75200,2860,1168,38500,,4863,19484
20010926,472.85,6750,17175,16500,75800,2830,1168,39150,,4818,19556
20010927,472.38,6940,17862,17100,76800,2810,1176,39400,,4872,19484
20010928,479.68,7090,17372,16800,80700,2800,1178,42500,,5059,19911
20011004,500.64,8150,18746,19300,85400,2910,1202,44950,,5532,20480
20011005,501.92,8450,21494,18800,84000,2950,1196,44800,,5148,20409
20011008,496.13,8050,21200,18550,81500,2920,1178,44100,,4996,20196
20011009,507.61,8140,21788,18700,84000,3030,1240,46500,,5318,20764
20011010,503.46,8220,20316,17950,84000,2980,1214,47400,,5130,20836
20011011,517.05,8380,21003,18650,85000,3180,1278,47900,,5228,21262
20011012,516.40,8380,20611,19000,84400,3260,1330,48400,,5460,21120
20011015,513.99,8380,20709,18700,84200,3200,1310,49050,,5443,21120
20011016,521.91,8400,19924,19100,85600,3180,1320,49300,,5478,21689
20011017,528.29,8410,19924,19900,85500,3280,1356,50500,,5576,22613
20011018,524.21,8450,18648,19250,86400,3260,1330,50000,,5978,23040
20011019,528.04,8450,19727,18800,85000,3400,1380,50200,,5719,22969
20011022,528.70,8450,19433,18700,84200,3390,1394,52000,,5737,23538
20011023,530.50,8680,18451,18800,83800,3480,1424,52000,,5594,23040
20011024,541.49,8680,17666,19600,86500,3710,1526,53500,,5692,24036
20011025,542.19,8680,18550,19850,86700,3660,1510,54400,,5568,23253
20011026,543.41,8680,18451,20700,88600,3620,1498,51900,,5541,22827
20011029,547.87,8690,19433,20300,87400,3680,1498,52200,,5434,22542
20011030,533.87,8610,19040,20300,87500,3480,1430,51300,,5228,22542
20011031,537.81,8390,21887,20800,89000,3470,1474,52000,,5291,22756
20011101,544.09,8250,25125,20900,89000,3580,1514,53000,,5362,23040
20011102,550.57,8070,24340,21600,89500,3660,1530,53800,,5327,22684
20011105,561.62,9200,24831,22700,90200,3700,1550,54000,,5389,22756
20011106,565.47,8990,23751,22300,93800,3800,1550,54000,,5478,22400
20011107,562.03,8700,23359,22700,92500,3810,1554,53400,,5353,22400
20011108,573.04,9110,23555,22850,93800,3860,1578,54000,,5380,23111
20011109,576.75,8900,27088,22600,96500,3970,1640,53300,,5398,23609
20011112,584.48,9100,31112,22500,97000,4000,1660,54000,,5559,24462
20011113,588.83,9500,32192,23500,97600,4000,1640,55100,,5621,25316
20011114,606.68,9600,35922,23850,100000,4300,1728,57800,,5675,24889
20011115,606.44,9770,33959,24000,100000,4190,1738,58800,,5398,25600
20011116,610.88,9820,35333,24550,105000,4180,1740,58400,,5407,25102
20011119,626.43,10200,37885,25800,108000,4370,1780,58200,,5443,24604
20011120,616.33,9730,33664,26000,104000,4270,1770,56700,,5371,25600
20011121,615.45,9500,34646,26300,104000,4220,1760,55700,,5353,25458
20011122,624.56,9610,37983,26900,108500,4320,1804,57000,,5246,25884
20011123,645.18,9890,37492,27400,114000,4440,1898,58900,,5407,27520
20011126,674.56,9920,38179,27400,114500,4600,1944,61100,,5532,30009
20011127,670.10,10050,41811,26400,114500,4620,1910,60000,,6067,29582
20011128,632.02,9120,38081,24100,105000,4380,1816,57500,,5496,28444
20011129,628.86,9200,40240,24200,105000,4200,1836,58000,,5639,28516
20011130,643.89,9270,42105,25400,107000,4360,1838,58000,,5514,30862
20011203,650.66,9280,48387,26650,107000,4490,1890,59500,,5478,31431
20011204,649.90,9130,52214,26100,108000,4600,1920,60500,,5639,29867
20011205,688.31,9690,54570,26400,117500,5290,2200,64300,,5800,30720
20011206,686.61,9350,53785,26300,120000,5500,2240,63000,,5871,31289
20011207,704.50,9740,55944,27400,127000,5670,2400,62500,,6424,32853
20011210,668.77,9710,52411,25500,114500,5200,2220,59500,,6852,30507
20011211,670.08,9620,52018,25750,117000,5170,2210,59400,,6478,30436
20011212,681.43,9450,51527,26400,119000,5400,2230,59000,,6977,30364
20011213,676.59,9210,47896,27200,115500,5300,2280,57700,,6995,32284
20011214,665.20,9050,46325,26500,114000,5100,2190,56900,,6549,32142
20011217,648.28,8740,47994,25500,113000,5010,2150,54300,,6371,30436
20011218,643.76,8500,40829,25300,112500,5210,2200,53900,,5835,29440
20011219,647.05,8620,39750,25850,110000,5280,2180,54500,,5746,28516
20011220,664.51,8850,40044,26050,113500,5300,2220,55400,,5773,29298
20011221,644.71,8300,38277,24350,114500,5030,2130,54200,,5496,28444
20011224,646.49,8190,39651,23850,115000,5050,2090,54300,,5487,29369
20011226,653.87,8300,45540,24750,112000,5160,2130,55300,,5496,29013
20011227,668.55,8440,45540,25800,116500,5400,2180,56500,,5800,29867
20011228,693.70,8860,47503,26900,122000,5580,2270,58000,,5880,30933
20020102,724.95,9200,54570,28500,122000,6160,2560,58600,,5942,31289
20020103,727.66,9200,55944,28800,120000,6040,2510,57600,,5862,33422
20020104,747.72,9210,57711,28600,127000,6380,2550,57400,,6335,35556
20020107,751.48,9100,56140,29400,130000,6360,2540,56700,,6290,35200
20020108,734.76,8950,55061,29900,127000,6230,2500,54600,,6031,34987
20020109,751.61,9220,63305,30500,125500,6450,2640,54500,,6067,34844
20020110,728.23,8640,61244,27950,117500,6160,2610,53500,,6156,35698
20020111,727.36,8980,59477,28550,121000,6120,2550,53800,,5969,35769
20020114,744.03,8940,62127,28850,123500,6600,2720,54700,,5907,34916
20020115,718.64,9030,55355,28500,121500,6240,2550,52800,,5666,33209
20020116,710.95,8820,52509,27600,119000,6030,2470,51700,,5853,32142
20020117,713.50,8800,51037,28200,119000,6000,2460,51400,,5844,33422
20020118,708.47,8470,47111,27050,123000,5920,2410,50500,,5746,34133
20020121,717.35,8640,46620,27800,125000,5820,2380,49700,,5657,34489
20020122,724.36,8650,50742,28500,124500,6000,2400,53400,,5603,36836
20020123,742.62,8790,51429,28700,131000,6160,2470,54400,,5684,40391
20020124,757.71,9300,51037,31000,134000,6200,2470,56700,,5648,40747
20020125,774.68,9350,48681,30450,135000,6460,2560,57600,,5773,40818
20020128,780.24,10150,48877,30200,130500,6370,2520,57600,,6389,45013
20020129,774.03,10200,44951,30200,131000,6300,2500,55600,,5978,43733
20020130,749.45,9550,49466,29400,126500,6060,2440,52600,,5701,40676
20020131,748.07,9700,47896,30250,128500,6010,2420,54000,,5755,42382
20020201,742.42,9410,51331,30450,125500,6180,2440,53100,,5915,42027
20020204,730.21,9480,48092,29300,125500,6240,2420,53000,,5978,40960
20020205,739.91,9300,48485,29050,126500,6460,2500,53200,,5907,41031
20020206,741.55,9800,48779,29950,123000,6380,2470,54700,,5853,42453
20020207,727.71,9640,45933,30000,123000,6300,2420,53000,,5568,42667
20020208,739.66,9610,49662,30400,127000,6420,2560,53000,,5639,42169
20020214,796.18,10200,46522,33000,146000,7100,2940,56300,,5853,45156
20020215,783.59,10100,39553,34800,141500,6830,2980,58000,,5782,47716
20020218,790.37,10800,37492,35350,142000,6860,3200,61100,,5889,50489
20020219,782.27,11200,35333,35500,137500,6850,3090,62300,,5808,47716
20020220,776.89,11300,34646,33600,141000,6800,3340,62200,,5710,47289
20020221,787.62,11350,30622,34200,145000,6760,3050,61100,,5692,47644
20020222,792.00,11250,31407,33950,160000,6670,2890,62500,,5853,49209
20020225,791.48,11550,28462,33650,157000,6640,2840,62000,,5701,51200
20020226,801.14,11550,29051,34250,151000,6740,2920,65900,,5684,53760
20020227,822.11,11650,32781,34950,150500,7000,3100,68300,,5889,54044
20020228,819.99,11450,31701,36400,146500,6860,3050,68700,,6594,52907
20020304,834.21,11800,33468,35800,145500,7000,3180,71200,,7379,51911
20020305,841.95,11800,38474,37650,144000,7220,3240,73300,,7334,51484
20020306,843.06,11700,41222,37600,140000,7260,3300,72300,,8209,54044
20020307,829.44,11200,35038,36700,140000,7120,3240,69900,,7620,54044
20020308,825.27,11800,34057,36600,135500,6980,3260,71000,,7932,54187
20020311,827.02,11950,31603,35950,139500,6970,3270,77300,,7566,56320
20020312,846.03,12200,32487,38200,142000,7060,3240,88800,,7379,60942
20020313,849.13,12950,31898,39200,144000,6960,3200,88300,,7308,59662
20020314,856.86,13450,33272,39950,143000,6880,3120,89000,,7495,59307
20020315,860.36,14150,32683,41100,145000,6600,3060,90500,,7548,58098
20020318,869.71,14200,31014,40500,145000,6640,3200,88700,,8343,59876
20020319,889.98,14000,30327,40000,151000,6980,3310,96000,,8566,60444
20020320,887.48,13450,28659,39000,147500,6980,3260,97300,,8209,58738
20020321,885.64,13850,27677,40200,147000,6830,3240,96200,,8298,58169
20020322,895.98,14400,29837,39900,145000,7010,3400,102000,,9279,49493
20020325,879.41,13700,28757,38600,139500,6800,3320,105000,,9101,56889
20020326,881.03,13850,28561,39800,139500,6980,3380,102000,,8726,58880
20020327,902.46,14000,28855,41300,144000,7270,3660,108000,,8744,61440
20020328,892.67,13900,30524,41000,138000,7150,3600,113000,,8405,62151
20020329,895.58,14050,28266,41900,139000,7360,3920,115000,,8146,62151
20020401,875.83,13650,27775,40900,139000,7480,4300,108000,,7602,60729
20020402,905.34,13900,27088,43050,147500,7970,4480,112000,,7691,64711
20020403,918.59,14400,26892,44500,147500,8080,4400,111000,,7709,71111
20020404,918.01,14850,26892,45400,145000,7780,4160,114000,,7673,70400
20020408,900.69,14850,26205,42850,140500,7380,4020,114500,,7727,66133
20020409,888.67,14400,24929,42800,141500,7380,3930,105500,,7138,63716
20020410,856.03,13550,24929,40400,137000,7120,3780,98000,,7272,59449
20020411,862.86,13600,24831,41150,140000,7190,4000,103000,,7227,60302
20020412,875.69,13450,28462,42400,144000,7380,4020,100000,,7316,60871
20020415,894.28,13800,27579,45000,143500,7700,4290,107500,,7022,62578
20020416,901.29,14500,26794,45600,139000,7780,4290,112000,,7102,64142
20020417,930.51,14950,26696,49850,138500,8120,4480,125000,,6995,67911
20020418,937.61,15200,25812,50900,139000,8130,4360,124000,,6665,68409
20020419,923.94,15150,24733,49500,135000,7920,4110,127000,,6647,75093
20020422,920.89,14950,23064,50000,130500,8200,4170,128000,,6960,71253
20020423,925.70,15250,19727,53500,132500,8540,4400,130000,,6674,72818
20020424,915.69,14450,21200,53900,129000,8640,4460,126000,,6736,62009
20020425,872.58,13900,19825,50000,121500,8260,4160,118500,,6290,56747
20020426,869.65,14300,20709,50000,124500,8000,4090,117500,,6076,61156
20020429,838.51,13450,17666,48300,123000,7620,3840,114500,,5594,59520
20020430,842.34,13350,18746,48000,128500,7640,3880,112500,,5666,55609
20020502,859.86,14200,15998,49500,131500,7590,3890,113500,,5791,56320
20020503,856.72,15050,15801,52300,131000,7400,3830,112000,,5675,57742
20020506,826.87,14400,13838,50200,127500,6960,3470,102000,,5746,55253
20020507,826.34,14700,12170,48950,124500,7040,3600,108500,,5648,54898
20020508,844.67,14250,13937,47250,126500,7250,3650,115500,,5942,56889
20020509,838.67,13950,13642,47450,122500,7240,3770,115000,,6121,57031
20020510,817.93,13650,13053,45000,123000,6680,3490,108000,,5942,55467
20020513,821.89,13450,12955,43700,131000,6710,3450,108000,,5978,54329
20020514,837.37,14000,13838,44000,133000,7160,3650,116000,,5826,52907
20020515,862.62,14400,14525,48400,135500,7520,3740,117000,,5933,57031
20020516,858.04,14150,16292,48750,132000,7400,3730,117000,,5889,56960
20020517,875.03,14250,16881,49800,136000,7650,3820,125000,,6594,58311
20020520,865.78,13750,16194,49400,138000,7400,3700,120500,,6505,59164
20020521,837.56,13300,14918,45400,136500,7120,3540,111000,,6344,56889
20020522,863.06,13400,15114,46400,140000,7400,3690,114000,,6594,57173
20020523,845.51,13250,13838,44700,140000,7200,3600,109000,,6147,56604
20020524,854.57,13050,13838,44000,140000,7320,3700,109000,,6335,57031
20020527,840.57,12600,14133,43100,139500,7230,3620,105500,,6201,56889
20020528,848.80,12500,14427,42750,140000,7390,3690,108000,,6603,57458
20020529,835.19,12000,14329,41800,140000,7240,3700,105500,,6505,58667
20020530,815.61,11750,13740,40700,141500,7100,3570,99000,,6567,56889
20020531,796.40,11800,13544,40250,139500,6840,3430,95700,,6603,56747
20020603,804.93,12100,12170,43000,141000,7020,3530,99000,,6442,58311
20020604,806.33,12300,10403,43250,142000,7040,3530,104000,,6263,61369
20020605,809.59,12650,8931,42350,144000,7110,3590,105000,,6263,64000
20020607,795.16,12700,7655,40000,145500,6900,3520,106000,,5907,64356
20020610,811.90,12500,6968,40600,151000,7000,3600,109000,,6067,68053
20020611,815.33,12200,7459,40800,154000,7000,3640,114500,,6121,68124
20020612,823.06,12250,7066,41550,154000,7040,3680,111500,,6067,67271
20020614,822.01,12100,7066,42000,150500,7190,3690,107000,,6130,61724
20020617,809.16,11500,6477,39800,149500,7180,3680,103000,,6156,62364
20020618,809.40,11750,6575,40200,147000,7260,3690,103500,,6031,61582
20020619,776.37,10850,5692,37700,140000,6970,3500,100000,,5621,59093
20020620,776.81,10800,5692,38000,144500,6820,3420,99500,,5675,58311
20020621,778.53,10400,5594,37900,144500,6800,3430,103500,,5684,59022
20020624,767.92,10000,5103,36550,143000,6780,3350,100000,,5443,59804
20020625,755.92,10200,4514,36000,145000,6770,3320,93300,,5282,59947
20020626,701.87,10150,3925,34900,137000,6180,3040,82100,,4649,55253
20020627,710.43,10800,4514,34500,134000,6260,3100,87000,,4818,58667
20020628,742.72,11000,5103,36150,133500,6580,3260,93200,,4996,61867
20020702,746.23,10900,5790,37700,130500,6750,3320,93400,,4979,60231
20020703,753.36,11500,6575,37800,130000,6760,3340,93500,,5389,59733
20020704,768.74,12000,7557,38300,136500,7000,3420,93600,,5389,61582
20020705,787.83,12500,8637,38800,138000,7160,3550,95900,,5425,65493
20020708,783.35,11900,9912,39000,138500,7180,3560,94500,,5496,66844
20020709,801.99,12100,11385,39600,139000,7240,3570,95000,,5808,67413
20020710,794.71,12100,13053,38200,135000,6940,3440,91100,,5915,67840
20020711,764.88,11100,11188,35400,133000,6630,3330,88500,,5844,67413
20020712,792.93,11550,12857,35500,139000,7040,3490,90800,,5915,70613
20020715,783.52,11100,12955,33500,136500,7060,3480,91300,,5710,68124
20020716,771.45,10750,12562,32700,132000,7080,3450,89900,,5514,65564
20020718,773.85,10750,13838,31750,136000,7140,3440,90600,,5550,66133
20020719,754.62,10800,14427,32500,133000,6830,3290,89500,,5389,67484
20020722,720.90,10050,12268,31400,135000,6600,3100,83500,,5050,61724
20020723,743.52,10900,11090,33600,130500,6900,3220,85400,,5478,62933
20020724,721.41,10600,10011,33400,126000,6700,3100,82500,,5228,61724
20020725,723.52,10400,10207,32600,121500,6780,3110,85000,,5228,61511
20020726,697.84,10150,8735,31650,118000,6400,2880,81700,,5237,58738
20020729,700.35,10150,10011,32900,113500,6500,2890,84200,,5211,58880
20020730,724.08,10800,11483,35500,114500,6660,3040,88000,,5193,62080
20020731,717.99,10550,10011,35350,117000,6650,3030,89600,,5104,61867
20020801,707.80,10300,10698,34550,113500,6490,3020,89000,,5068,60516
20020802,700.68,10500,11679,33150,114000,6390,3030,87600,,4988,59591
